x [um]	Total Charge Density [C/cm^3]
0.351126	-2.12441e-10
0.351777	-2.1876e-10
0.352428	-2.24991e-10
0.353079	-2.31138e-10
0.353729	-2.372e-10
0.35438	-2.4318e-10
0.355031	-2.49079e-10
0.355681	-2.54898e-10
0.356332	-2.60638e-10
0.356983	-2.66301e-10
0.357634	-2.71887e-10
0.358284	-2.77399e-10
0.358935	-2.82836e-10
0.359586	-2.88201e-10
0.360237	-2.93494e-10
0.360887	-2.98716e-10
0.361538	-3.03869e-10
0.362189	-3.08954e-10
0.36284	-3.13971e-10
0.36349	-3.18923e-10
0.364141	-3.23809e-10
0.364792	-3.28631e-10
0.365442	-3.3339e-10
0.366093	-3.38086e-10
0.366744	-3.42722e-10
0.367395	-3.47297e-10
0.368045	-3.51813e-10
0.368696	-3.56271e-10
0.369347	-3.60671e-10
0.369998	-3.65014e-10
0.370648	-3.69302e-10
0.371299	-3.73535e-10
0.37195	-3.77715e-10
0.372601	-3.81841e-10
0.373251	-3.85915e-10
0.373902	-3.89937e-10
0.374553	-3.93909e-10
0.375203	-3.97831e-10
0.375854	-4.01703e-10
0.376505	-4.05528e-10
0.377156	-4.09305e-10
0.377806	-4.13035e-10
0.378457	-4.16719e-10
0.379108	-4.20358e-10
0.379759	-4.23952e-10
0.380409	-4.27502e-10
0.38106	-4.31009e-10
0.381711	-4.34473e-10
0.382362	-4.37896e-10
0.383012	-4.41277e-10
0.383663	-4.44617e-10
0.384314	-4.47918e-10
0.384964	-4.51179e-10
0.385615	-4.54402e-10
0.386266	-4.57586e-10
0.386917	-4.60733e-10
0.387567	-4.63842e-10
0.388218	-4.66916e-10
0.388869	-4.69953e-10
0.38952	-4.72956e-10
0.39017	-4.75923e-10
0.390821	-4.78857e-10
0.391472	-4.81757e-10
0.392122	-4.84624e-10
0.392773	-4.87458e-10
0.393424	-4.9026e-10
0.394075	-4.93031e-10
0.394725	-4.9577e-10
0.395376	-4.98479e-10
0.396027	-5.01158e-10
0.396678	-5.03807e-10
0.397328	-5.06427e-10
0.397979	-5.09019e-10
0.39863	-5.11582e-10
0.399281	-5.14117e-10
0.399931	-5.16625e-10
0.400582	-5.19106e-10
0.401233	-5.2156e-10
0.401883	-5.23988e-10
0.402534	-5.26391e-10
0.403185	-5.28768e-10
0.403836	-5.3112e-10
0.404486	-5.33448e-10
0.405137	-5.35752e-10
0.405788	-5.38032e-10
0.406439	-5.40288e-10
0.407089	-5.42522e-10
0.40774	-5.44733e-10
0.408391	-5.46921e-10
0.409042	-5.49088e-10
0.409692	-5.51233e-10
0.410343	-5.53356e-10
0.410994	-5.55459e-10
0.411644	-5.57541e-10
0.412295	-5.59603e-10
0.412946	-5.61644e-10
0.413597	-5.63667e-10
0.414247	-5.65669e-10
0.414898	-5.67653e-10
0.415549	-5.69618e-10
0.4162	-5.71565e-10
0.41685	-5.73493e-10
0.417501	-5.75403e-10
0.418152	-5.77296e-10
0.418803	-5.79172e-10
0.419453	-5.8103e-10
0.420104	-5.82872e-10
0.420755	-5.84697e-10
0.421405	-5.86506e-10
0.422056	-5.88299e-10
0.422707	-5.90076e-10
0.423358	-5.91837e-10
0.424008	-5.93584e-10
0.424659	-5.95315e-10
0.42531	-5.97032e-10
0.425961	-5.98733e-10
0.426611	-6.00421e-10
0.427262	-6.02095e-10
0.427913	-6.03754e-10
0.428563	-6.054e-10
0.429214	-6.07032e-10
0.429865	-6.08652e-10
0.430516	-6.10258e-10
0.431166	-6.11851e-10
0.431817	-6.13432e-10
0.432468	-6.15e-10
0.433119	-6.16556e-10
0.433769	-6.181e-10
0.43442	-6.19632e-10
0.435071	-6.21153e-10
0.435722	-6.22661e-10
0.436372	-6.24159e-10
0.437023	-6.25646e-10
0.437674	-6.27121e-10
0.438324	-6.28586e-10
0.438975	-6.3004e-10
0.439626	-6.31484e-10
0.440277	-6.32917e-10
0.440927	-6.3434e-10
0.441578	-6.35754e-10
0.442229	-6.37157e-10
0.44288	-6.38551e-10
0.44353	-6.39936e-10
0.444181	-6.41311e-10
0.444832	-6.42676e-10
0.445483	-6.44033e-10
0.446133	-6.45381e-10
0.446784	-6.4672e-10
0.447435	-6.48051e-10
0.448085	-6.49372e-10
0.448736	-6.50686e-10
0.449387	-6.51991e-10
0.450038	-6.53288e-10
0.450688	-6.54578e-10
0.451339	-6.55859e-10
0.45199	-6.57133e-10
0.452641	-6.58399e-10
0.453291	-6.59657e-10
0.453942	-6.60908e-10
0.454593	-6.62152e-10
0.455244	-6.63389e-10
0.455894	-6.64619e-10
0.456545	-6.65841e-10
0.457196	-6.67057e-10
0.457846	-6.68267e-10
0.458497	-6.69469e-10
0.459148	-6.70666e-10
0.459799	-6.71855e-10
0.460449	-6.73039e-10
0.4611	-6.74216e-10
0.461751	-6.75387e-10
0.462402	-6.76553e-10
0.463052	-6.77712e-10
0.463703	-6.78866e-10
0.464354	-6.80013e-10
0.465005	-6.81156e-10
0.465655	-6.82292e-10
0.466306	-6.83423e-10
0.466957	-6.84549e-10
0.467607	-6.8567e-10
0.468258	-6.86785e-10
0.468909	-6.87895e-10
0.46956	-6.89001e-10
0.47021	-6.90101e-10
0.470861	-6.91196e-10
0.471512	-6.92287e-10
0.472163	-6.93373e-10
0.472813	-6.94454e-10
0.473464	-6.95531e-10
0.474115	-6.96603e-10
0.474765	-6.9767e-10
0.475416	-6.98734e-10
0.476067	-6.99793e-10
0.476718	-7.00848e-10
0.477368	-7.01898e-10
0.478019	-7.02945e-10
0.47867	-7.03988e-10
0.479321	-7.05026e-10
0.479971	-7.06061e-10
0.480622	-7.07092e-10
0.481273	-7.08119e-10
0.481924	-7.09142e-10
0.482574	-7.10162e-10
0.483225	-7.11178e-10
0.483876	-7.12191e-10
0.484526	-7.132e-10
0.485177	-7.14206e-10
0.485828	-7.15208e-10
0.486479	-7.16207e-10
0.487129	-7.17203e-10
0.48778	-7.18196e-10
0.488431	-7.19185e-10
0.489082	-7.20171e-10
0.489732	-7.21154e-10
0.490383	-7.22135e-10
0.491034	-7.23112e-10
0.491685	-7.24086e-10
0.492335	-7.25058e-10
0.492986	-7.26026e-10
0.493637	-7.26992e-10
0.494287	-7.27955e-10
0.494938	-7.28915e-10
0.495589	-7.29873e-10
0.49624	-7.30828e-10
0.49689	-7.31781e-10
0.497541	-7.32731e-10
0.498192	-7.33679e-10
0.498843	-7.34624e-10
0.499493	-7.35566e-10
0.500144	-7.36507e-10
0.500795	-7.37445e-10
0.501446	-7.38381e-10
0.502096	-7.39314e-10
0.502747	-7.40245e-10
0.503398	-7.41174e-10
0.504048	-7.42101e-10
0.504699	-7.43026e-10
0.50535	-7.43949e-10
0.506001	-7.4487e-10
0.506651	-7.45788e-10
0.507302	-7.46705e-10
0.507953	-7.4762e-10
0.508604	-7.48533e-10
0.509254	-7.49444e-10
0.509905	-7.50353e-10
0.510556	-7.5126e-10
0.511206	-7.52166e-10
0.511857	-7.53069e-10
0.512508	-7.53971e-10
0.513159	-7.54872e-10
0.513809	-7.5577e-10
0.51446	-7.56667e-10
0.515111	-7.57563e-10
0.515762	-7.58457e-10
0.516412	-7.59349e-10
0.517063	-7.60239e-10
0.517714	-7.61128e-10
0.518365	-7.62016e-10
0.519015	-7.62902e-10
0.519666	-7.63787e-10
0.520317	-7.6467e-10
0.520967	-7.65552e-10
0.521618	-7.66433e-10
0.522269	-7.67312e-10
0.52292	-7.6819e-10
0.52357	-7.69066e-10
0.524221	-7.69941e-10
0.524872	-7.70815e-10
0.525523	-7.71688e-10
0.526173	-7.7256e-10
0.526824	-7.7343e-10
0.527475	-7.74299e-10
0.528126	-7.75167e-10
0.528776	-7.76034e-10
0.529427	-7.76899e-10
0.530078	-7.77764e-10
0.530728	-7.78627e-10
0.531379	-7.7949e-10
0.53203	-7.80351e-10
0.532681	-7.81211e-10
0.533331	-7.8207e-10
0.533982	-7.82929e-10
0.534633	-7.83786e-10
0.535284	-7.84642e-10
0.535934	-7.85498e-10
0.536585	-7.86352e-10
0.537236	-7.87206e-10
0.537887	-7.88058e-10
0.538537	-7.8891e-10
0.539188	-7.89761e-10
0.539839	-7.90611e-10
0.540489	-7.9146e-10
0.54114	-7.92308e-10
0.541791	-7.93156e-10
0.542442	-7.94002e-10
0.543092	-7.94848e-10
0.543743	-7.95693e-10
0.544394	-7.96538e-10
0.545045	-7.97381e-10
0.545695	-7.98224e-10
0.546346	-7.99066e-10
0.546997	-7.99908e-10
0.547647	-8.00748e-10
0.548298	-8.01588e-10
0.548949	-8.02428e-10
0.5496	-8.03267e-10
