4.54068	-0.363181	4.1775	4.54068	-0.363181	4.1775	4.54068	-0.363181	4.1775
4.54068	-0.363181	4.1775	4.54068	-0.363181	4.1775	4.54068	-0.363181	4.1775
4.54068	-0.36318	4.1775	4.54068	-0.36318	4.1775	4.54068	-0.36318	4.1775
4.54068	-0.36318	4.1775	4.54068	-0.36318	4.1775	4.54068	-0.36318	4.1775
4.54068	-0.36318	4.1775	4.54068	-0.363179	4.1775	4.54068	-0.363179	4.1775
4.54068	-0.363179	4.1775	4.54068	-0.363179	4.1775	4.54068	-0.363179	4.1775
4.54068	-0.363178	4.1775	4.54068	-0.363178	4.1775	4.54068	-0.363178	4.1775
4.54068	-0.363177	4.1775	4.54068	-0.363177	4.1775	4.54068	-0.363177	4.1775
4.54068	-0.363176	4.17751	4.54068	-0.363176	4.17751	4.54068	-0.363176	4.17751
4.54068	-0.363175	4.17751	4.54068	-0.363175	4.17751	4.54068	-0.363175	4.17751
4.54068	-0.363174	4.17751	4.54068	-0.363174	4.17751	4.54068	-0.363173	4.17751
4.54068	-0.363173	4.17751	4.54068	-0.363172	4.17751	4.54068	-0.363172	4.17751
4.54068	-0.363172	4.17751	4.54068	-0.363171	4.17751	4.54068	-0.363171	4.17751
4.54068	-0.36317	4.17751	4.54068	-0.36317	4.17751	4.54068	-0.363169	4.17752
4.54068	-0.363168	4.17752	4.54068	-0.363168	4.17752	4.54069	-0.363167	4.17752
4.54069	-0.363167	4.17752	4.54069	-0.363166	4.17752	4.54069	-0.363166	4.17752
4.54069	-0.363165	4.17752	4.54069	-0.363164	4.17752	4.54069	-0.363164	4.17752
4.54069	-0.363163	4.17752	4.54069	-0.363163	4.17752	4.54069	-0.363162	4.17753
4.54069	-0.363161	4.17753	4.54069	-0.363161	4.17753	4.54069	-0.36316	4.17753
4.54069	-0.363159	4.17753	4.54069	-0.363159	4.17753	4.54069	-0.363158	4.17753
4.54069	-0.363157	4.17753	4.54069	-0.363156	4.17753	4.54069	-0.363156	4.17753
4.54069	-0.363155	4.17754	4.54069	-0.363154	4.17754	4.54069	-0.363153	4.17754
4.54069	-0.363153	4.17754	4.54069	-0.363152	4.17754	4.54069	-0.363151	4.17754
4.54069	-0.36315	4.17754	4.54069	-0.36315	4.17754	4.54069	-0.363149	4.17754
4.54069	-0.363148	4.17755	4.54069	-0.363147	4.17755	4.54069	-0.363146	4.17755
4.54069	-0.363145	4.17755	4.54069	-0.363145	4.17755	4.5407	-0.363144	4.17755
4.5407	-0.363143	4.17755	4.5407	-0.363142	4.17755	4.5407	-0.363141	4.17756
4.5407	-0.36314	4.17756	4.5407	-0.363139	4.17756	4.5407	-0.363139	4.17756
4.5407	-0.363138	4.17756	4.5407	-0.363137	4.17756	4.5407	-0.363136	4.17756
4.5407	-0.363135	4.17756	4.5407	-0.363134	4.17757	4.5407	-0.363133	4.17757
4.5407	-0.363132	4.17757	4.5407	-0.363131	4.17757	4.5407	-0.36313	4.17757
4.5407	-0.363129	4.17757	4.5407	-0.363128	4.17757	4.5407	-0.363127	4.17758
4.5407	-0.363126	4.17758	4.5407	-0.363125	4.17758	4.5407	-0.363124	4.17758
4.5407	-0.363123	4.17758	4.54071	-0.363122	4.17758	4.54071	-0.363121	4.17758
4.54071	-0.36312	4.17759	4.54071	-0.363119	4.17759	4.54071	-0.363118	4.17759
4.54071	-0.363117	4.17759	4.54071	-0.363116	4.17759	4.54071	-0.363115	4.17759
4.54071	-0.363114	4.1776	4.54071	-0.363113	4.1776	4.54071	-0.363112	4.1776
4.54071	-0.363111	4.1776	4.54071	-0.36311	4.1776	4.54071	-0.363109	4.1776
4.54071	-0.363108	4.17761	4.54071	-0.363106	4.17761	4.54071	-0.363105	4.17761
4.54071	-0.363104	4.17761	4.54072	-0.363103	4.17761	4.54072	-0.363102	4.17761
4.54072	-0.363101	4.17762	4.54072	-0.3631	4.17762	4.54072	-0.363099	4.17762
4.54072	-0.363098	4.17762	4.54072	-0.363096	4.17762	4.54072	-0.363095	4.17762
4.54072	-0.363094	4.17763	4.54072	-0.363093	4.17763	4.54072	-0.363092	4.17763
4.54072	-0.363091	4.17763	4.54072	-0.36309	4.17763	4.54072	-0.363088	4.17764
4.54072	-0.363087	4.17764	4.54072	-0.363086	4.17764	4.54073	-0.363085	4.17764
4.54073	-0.363084	4.17764	4.54073	-0.363083	4.17764	4.54073	-0.363081	4.17765
4.54073	-0.36308	4.17765	4.54073	-0.363079	4.17765	4.54073	-0.363078	4.17765
4.54073	-0.363077	4.17765	4.54073	-0.363075	4.17766	4.54073	-0.363074	4.17766
4.54073	-0.363073	4.17766	4.54073	-0.363072	4.17766	4.54073	-0.363071	4.17766
4.54073	-0.363069	4.17767	4.54074	-0.363068	4.17767	4.54074	-0.363067	4.17767
4.54074	-0.363066	4.17767	4.54074	-0.363064	4.17767	4.54074	-0.363063	4.17768
4.54074	-0.363062	4.17768	4.54074	-0.363061	4.17768	4.54074	-0.363059	4.17768
