x [um]	Ec	Ev	Ei	Efn	Efp
0.254167	0.302969	-0.817031	-0.257031	-0.11007	-0.603594
0.254818	0.302969	-0.817031	-0.257031	-0.109794	-0.603594
0.255469	0.30297	-0.81703	-0.25703	-0.10952	-0.603594
0.256119	0.30297	-0.81703	-0.25703	-0.10925	-0.603594
0.25677	0.30297	-0.81703	-0.25703	-0.108982	-0.603594
0.257421	0.30297	-0.81703	-0.25703	-0.108717	-0.603594
0.258072	0.30297	-0.81703	-0.25703	-0.108454	-0.603594
0.258722	0.30297	-0.81703	-0.25703	-0.108194	-0.603594
0.259373	0.30297	-0.81703	-0.25703	-0.107937	-0.603594
0.260024	0.30297	-0.81703	-0.25703	-0.107682	-0.603594
0.260675	0.302971	-0.817029	-0.257029	-0.10743	-0.603594
0.261325	0.302971	-0.817029	-0.257029	-0.10718	-0.603594
0.261976	0.302971	-0.817029	-0.257029	-0.106933	-0.603594
0.262627	0.302971	-0.817029	-0.257029	-0.106688	-0.603594
0.263278	0.302971	-0.817029	-0.257029	-0.106445	-0.603594
0.263928	0.302971	-0.817029	-0.257029	-0.106205	-0.603594
0.264579	0.302971	-0.817029	-0.257029	-0.105967	-0.603594
0.26523	0.302972	-0.817028	-0.257028	-0.105731	-0.603594
0.26588	0.302972	-0.817028	-0.257028	-0.105497	-0.603594
0.266531	0.302972	-0.817028	-0.257028	-0.105265	-0.603594
0.267182	0.302972	-0.817028	-0.257028	-0.105035	-0.603594
0.267833	0.302972	-0.817028	-0.257028	-0.104807	-0.603594
0.268483	0.302972	-0.817028	-0.257028	-0.104581	-0.603594
0.269134	0.302972	-0.817028	-0.257028	-0.104358	-0.603594
0.269785	0.302973	-0.817027	-0.257027	-0.104136	-0.603594
0.270436	0.302973	-0.817027	-0.257027	-0.103916	-0.603594
0.271086	0.302973	-0.817027	-0.257027	-0.103698	-0.603594
0.271737	0.302973	-0.817027	-0.257027	-0.103481	-0.603594
0.272388	0.302973	-0.817027	-0.257027	-0.103267	-0.603594
0.273038	0.302973	-0.817027	-0.257027	-0.103054	-0.603594
0.273689	0.302973	-0.817027	-0.257027	-0.102843	-0.603594
0.27434	0.302973	-0.817027	-0.257027	-0.102634	-0.603594
0.274991	0.302974	-0.817026	-0.257026	-0.102426	-0.603594
0.275641	0.302974	-0.817026	-0.257026	-0.10222	-0.603593
0.276292	0.302974	-0.817026	-0.257026	-0.102016	-0.603593
0.276943	0.302974	-0.817026	-0.257026	-0.101813	-0.603593
0.277594	0.302974	-0.817026	-0.257026	-0.101612	-0.603593
0.278244	0.302974	-0.817026	-0.257026	-0.101412	-0.603593
0.278895	0.302974	-0.817026	-0.257026	-0.101214	-0.603593
0.279546	0.302975	-0.817025	-0.257025	-0.101017	-0.603593
0.280197	0.302975	-0.817025	-0.257025	-0.100822	-0.603593
0.280847	0.302975	-0.817025	-0.257025	-0.100629	-0.603593
0.281498	0.302975	-0.817025	-0.257025	-0.100436	-0.603593
0.282149	0.302975	-0.817025	-0.257025	-0.100246	-0.603593
0.282799	0.302975	-0.817025	-0.257025	-0.100056	-0.603593
0.28345	0.302975	-0.817025	-0.257025	-0.0998681	-0.603593
0.284101	0.302976	-0.817024	-0.257024	-0.0996815	-0.603593
0.284752	0.302976	-0.817024	-0.257024	-0.0994962	-0.603593
0.285402	0.302976	-0.817024	-0.257024	-0.0993122	-0.603593
0.286053	0.302976	-0.817024	-0.257024	-0.0991295	-0.603593
0.286704	0.302976	-0.817024	-0.257024	-0.098948	-0.603593
0.287355	0.302976	-0.817024	-0.257024	-0.0987679	-0.603593
0.288005	0.302976	-0.817024	-0.257024	-0.098589	-0.603593
0.288656	0.302976	-0.817024	-0.257024	-0.0984113	-0.603593
0.289307	0.302977	-0.817023	-0.257023	-0.0982348	-0.603593
0.289958	0.302977	-0.817023	-0.257023	-0.0980595	-0.603593
0.290608	0.302977	-0.817023	-0.257023	-0.0978854	-0.603593
0.291259	0.302977	-0.817023	-0.257023	-0.0977125	-0.603593
0.29191	0.302977	-0.817023	-0.257023	-0.0975407	-0.603593
0.29256	0.302977	-0.817023	-0.257023	-0.0973701	-0.603593
0.293211	0.302977	-0.817023	-0.257023	-0.0972005	-0.603593
0.293862	0.302978	-0.817022	-0.257022	-0.0970321	-0.603593
0.294513	0.302978	-0.817022	-0.257022	-0.0968648	-0.603593
0.295163	0.302978	-0.817022	-0.257022	-0.0966985	-0.603593
0.295814	0.302978	-0.817022	-0.257022	-0.0965333	-0.603593
0.296465	0.302978	-0.817022	-0.257022	-0.0963692	-0.603593
0.297116	0.302978	-0.817022	-0.257022	-0.096206	-0.603593
0.297766	0.302978	-0.817022	-0.257022	-0.096044	-0.603593
0.298417	0.302979	-0.817021	-0.257021	-0.0958829	-0.603593
0.299068	0.302979	-0.817021	-0.257021	-0.0957228	-0.603593
0.299719	0.302979	-0.817021	-0.257021	-0.0955637	-0.603593
0.300369	0.302979	-0.817021	-0.257021	-0.0954056	-0.603593
0.30102	0.302979	-0.817021	-0.257021	-0.0952484	-0.603593
0.301671	0.302979	-0.817021	-0.257021	-0.0950922	-0.603593
0.302321	0.302979	-0.817021	-0.257021	-0.0949369	-0.603593
0.302972	0.30298	-0.81702	-0.25702	-0.0947825	-0.603593
0.303623	0.30298	-0.81702	-0.25702	-0.0946291	-0.603593
0.304274	0.30298	-0.81702	-0.25702	-0.0944766	-0.603593
0.304924	0.30298	-0.81702	-0.25702	-0.0943249	-0.603593
0.305575	0.30298	-0.81702	-0.25702	-0.0941742	-0.603593
0.306226	0.30298	-0.81702	-0.25702	-0.0940243	-0.603593
0.306877	0.30298	-0.81702	-0.25702	-0.0938753	-0.603593
0.307527	0.30298	-0.81702	-0.25702	-0.0937271	-0.603593
0.308178	0.302981	-0.817019	-0.257019	-0.0935798	-0.603593
0.308829	0.302981	-0.817019	-0.257019	-0.0934333	-0.603593
0.30948	0.302981	-0.817019	-0.257019	-0.0932876	-0.603593
0.31013	0.302981	-0.817019	-0.257019	-0.0931428	-0.603593
0.310781	0.302981	-0.817019	-0.257019	-0.0929987	-0.603593
0.311432	0.302981	-0.817019	-0.257019	-0.0928555	-0.603593
0.312082	0.302981	-0.817019	-0.257019	-0.092713	-0.603593
0.312733	0.302982	-0.817018	-0.257018	-0.0925714	-0.603593
0.313384	0.302982	-0.817018	-0.257018	-0.0924305	-0.603593
0.314035	0.302982	-0.817018	-0.257018	-0.0922903	-0.603593
0.314685	0.302982	-0.817018	-0.257018	-0.0921509	-0.603593
0.315336	0.302982	-0.817018	-0.257018	-0.0920123	-0.603593
0.315987	0.302982	-0.817018	-0.257018	-0.0918744	-0.603593
0.316638	0.302982	-0.817018	-0.257018	-0.0917372	-0.603593
0.317288	0.302983	-0.817017	-0.257017	-0.0916008	-0.603593
0.317939	0.302983	-0.817017	-0.257017	-0.0914651	-0.603593
