x [um]	Potential [eV]
0.400582	0.248675
0.401233	0.248675
0.401883	0.248675
0.402534	0.248674
0.403185	0.248674
0.403836	0.248674
0.404486	0.248674
0.405137	0.248674
0.405788	0.248674
0.406439	0.248674
0.407089	0.248673
0.40774	0.248673
0.408391	0.248673
0.409042	0.248673
0.409692	0.248673
0.410343	0.248673
0.410994	0.248673
0.411644	0.248672
0.412295	0.248672
0.412946	0.248672
0.413597	0.248672
0.414247	0.248672
0.414898	0.248672
0.415549	0.248672
0.4162	0.248672
0.41685	0.248671
0.417501	0.248671
0.418152	0.248671
0.418803	0.248671
0.419453	0.248671
0.420104	0.248671
0.420755	0.248671
0.421405	0.24867
0.422056	0.24867
0.422707	0.24867
0.423358	0.24867
0.424008	0.24867
0.424659	0.24867
0.42531	0.24867
0.425961	0.248669
0.426611	0.248669
0.427262	0.248669
0.427913	0.248669
0.428563	0.248669
0.429214	0.248669
0.429865	0.248669
0.430516	0.248668
0.431166	0.248668
0.431817	0.248668
0.432468	0.248668
0.433119	0.248668
0.433769	0.248668
0.43442	0.248668
0.435071	0.248668
0.435722	0.248667
0.436372	0.248667
0.437023	0.248667
0.437674	0.248667
0.438324	0.248667
0.438975	0.248667
0.439626	0.248667
0.440277	0.248666
0.440927	0.248666
0.441578	0.248666
0.442229	0.248666
0.44288	0.248666
0.44353	0.248666
0.444181	0.248666
0.444832	0.248665
0.445483	0.248665
0.446133	0.248665
0.446784	0.248665
0.447435	0.248665
0.448085	0.248665
0.448736	0.248665
0.449387	0.248665
0.450038	0.248664
0.450688	0.248664
0.451339	0.248664
0.45199	0.248664
0.452641	0.248664
0.453291	0.248664
0.453942	0.248664
0.454593	0.248663
0.455244	0.248663
0.455894	0.248663
0.456545	0.248663
0.457196	0.248663
0.457846	0.248663
0.458497	0.248663
0.459148	0.248662
0.459799	0.248662
0.460449	0.248662
0.4611	0.248662
0.461751	0.248662
0.462402	0.248662
0.463052	0.248662
0.463703	0.248661
0.464354	0.248661
0.465005	0.248661
0.465655	0.248661
0.466306	0.248661
0.466957	0.248661
0.467607	0.248661
0.468258	0.248661
0.468909	0.24866
0.46956	0.24866
0.47021	0.24866
0.470861	0.24866
0.471512	0.24866
0.472163	0.24866
0.472813	0.24866
0.473464	0.248659
0.474115	0.248659
0.474765	0.248659
0.475416	0.248659
0.476067	0.248659
0.476718	0.248659
0.477368	0.248659
0.478019	0.248658
0.47867	0.248658
0.479321	0.248658
0.479971	0.248658
0.480622	0.248658
0.481273	0.248658
0.481924	0.248658
0.482574	0.248658
0.483225	0.248657
0.483876	0.248657
0.484526	0.248657
0.485177	0.248657
0.485828	0.248657
0.486479	0.248657
0.487129	0.248657
0.48778	0.248656
0.488431	0.248656
0.489082	0.248656
0.489732	0.248656
0.490383	0.248656
0.491034	0.248656
0.491685	0.248656
0.492335	0.248655
0.492986	0.248655
0.493637	0.248655
0.494287	0.248655
0.494938	0.248655
0.495589	0.248655
0.49624	0.248655
0.49689	0.248654
0.497541	0.248654
0.498192	0.248654
0.498843	0.248654
0.499493	0.248654
0.500144	0.248654
0.500795	0.248654
0.501446	0.248654
0.502096	0.248653
0.502747	0.248653
0.503398	0.248653
0.504048	0.248653
0.504699	0.248653
0.50535	0.248653
0.506001	0.248653
0.506651	0.248652
0.507302	0.248652
0.507953	0.248652
0.508604	0.248652
0.509254	0.248652
0.509905	0.248652
0.510556	0.248652
0.511206	0.248651
0.511857	0.248651
0.512508	0.248651
0.513159	0.248651
0.513809	0.248651
0.51446	0.248651
0.515111	0.248651
0.515762	0.248651
0.516412	0.24865
0.517063	0.24865
0.517714	0.24865
0.518365	0.24865
0.519015	0.24865
0.519666	0.24865
0.520317	0.24865
0.520967	0.248649
0.521618	0.248649
0.522269	0.248649
0.52292	0.248649
0.52357	0.248649
0.524221	0.248649
0.524872	0.248649
0.525523	0.248648
0.526173	0.248648
0.526824	0.248648
0.527475	0.248648
0.528126	0.248648
0.528776	0.248648
0.529427	0.248648
0.530078	0.248648
0.530728	0.248647
0.531379	0.248647
0.53203	0.248647
0.532681	0.248647
0.533331	0.248647
0.533982	0.248647
0.534633	0.248647
0.535284	0.248646
0.535934	0.248646
0.536585	0.248646
0.537236	0.248646
0.537887	0.248646
0.538537	0.248646
0.539188	0.248646
0.539839	0.248645
0.540489	0.248645
0.54114	0.248645
0.541791	0.248645
0.542442	0.248645
0.543092	0.248645
0.543743	0.248645
0.544394	0.248644
0.545045	0.248644
0.545695	0.248644
0.546346	0.248644
0.546997	0.248644
0.547647	0.248644
0.548298	0.248644
0.548949	0.248644
0.5496	0.248643
0.55025	0.248643
0.550901	0.248643
0.551552	0.248643
0.552203	0.248643
0.552853	0.248643
0.553504	0.248643
0.554155	0.248642
0.554806	0.248642
0.555456	0.248642
0.556107	0.248642
0.556758	0.248642
0.557408	0.248642
0.558059	0.248642
0.55871	0.248641
0.559361	0.248641
0.560011	0.248641
0.560662	0.248641
0.561313	0.248641
0.561964	0.248641
0.562614	0.248641
0.563265	0.248641
0.563916	0.24864
0.564567	0.24864
0.565217	0.24864
0.565868	0.24864
0.566519	0.24864
0.567169	0.24864
0.56782	0.24864
0.568471	0.248639
0.569122	0.248639
0.569772	0.248639
0.570423	0.248639
0.571074	0.248639
0.571725	0.248639
0.572375	0.248639
0.573026	0.248638
0.573677	0.248638
0.574328	0.248638
0.574978	0.248638
0.575629	0.248638
0.57628	0.248638
0.57693	0.248638
0.577581	0.248638
0.578232	0.248637
0.578883	0.248637
0.579533	0.248637
0.580184	0.248637
0.580835	0.248637
0.581486	0.248637
0.582136	0.248637
0.582787	0.248636
0.583438	0.248636
0.584089	0.248636
0.584739	0.248636
0.58539	0.248636
0.586041	0.248636
0.586691	0.248636
0.587342	0.248635
0.587993	0.248635
0.588644	0.248635
0.589294	0.248635
0.589945	0.248635
0.590596	0.248635
0.591247	0.248635
0.591897	0.248634
0.592548	0.248634
0.593199	0.248634
0.593849	0.248634
0.5945	0.248634
0.595151	0.248634
0.595802	0.248634
0.596452	0.248634
0.597103	0.248633
0.597754	0.248633
0.598405	0.248633
0.599055	0.248633
0.599706	0.248633
0.600357	0.248633
0.601008	0.248633
0.601658	0.248632
0.602309	0.248632
0.60296	0.248632
0.60361	0.248632
0.604261	0.248632
0.604912	0.248632
0.605563	0.248632
0.606213	0.248631
0.606864	0.248631
0.607515	0.248631
0.608166	0.248631
0.608816	0.248631
0.609467	0.248631
0.610118	0.248631
0.610769	0.248631
0.611419	0.24863
0.61207	0.24863
0.612721	0.24863
0.613371	0.24863
0.614022	0.24863
0.614673	0.24863
0.615324	0.24863
0.615974	0.248629
0.616625	0.248629
0.617276	0.248629
0.617927	0.248629
0.618577	0.248629
0.619228	0.248629
0.619879	0.248629
0.62053	0.248628
0.62118	0.248628
0.621831	0.248628
0.622482	0.248628
0.623132	0.248628
0.623783	0.248628
0.624434	0.248628
0.625085	0.248628
0.625735	0.248627
0.626386	0.248627
0.627037	0.248627
0.627688	0.248627
0.628338	0.248627
0.628989	0.248627
0.62964	0.248627
0.63029	0.248626
0.630941	0.248626
0.631592	0.248626
0.632243	0.248626
0.632893	0.248626
0.633544	0.248626
0.634195	0.248626
0.634846	0.248625
0.635496	0.248625
0.636147	0.248625
0.636798	0.248625
0.637449	0.248625
0.638099	0.248625
0.63875	0.248625
0.639401	0.248625
0.640051	0.248624
0.640702	0.248624
0.641353	0.248624
0.642004	0.248624
0.642654	0.248624
0.643305	0.248624
0.643956	0.248624
0.644607	0.248623
0.645257	0.248623
0.645908	0.248623
0.646559	0.248623
0.64721	0.248623
0.64786	0.248623
0.648511	0.248623
0.649162	0.248622
0.649812	0.248622
0.650463	0.248622
0.651114	0.248622
0.651765	0.248622
0.652415	0.248622
0.653066	0.248622
0.653717	0.248622
0.654368	0.248621
0.655018	0.248621
0.655669	0.248621
0.65632	0.248621
0.656971	0.248621
0.657621	0.248621
0.658272	0.248621
0.658923	0.24862
0.659573	0.24862
0.660224	0.24862
0.660875	0.24862
0.661526	0.24862
0.662176	0.24862
0.662827	0.24862
0.663478	0.248619
0.664129	0.248619
0.664779	0.248619
0.66543	0.248619
0.666081	0.248619
0.666731	0.248619
0.667382	0.248619
0.668033	0.248618
0.668684	0.248618
0.669334	0.248618
0.669985	0.248618
0.670636	0.248618
0.671287	0.248618
0.671937	0.248618
0.672588	0.248618
0.673239	0.248617
0.67389	0.248617
0.67454	0.248617
0.675191	0.248617
0.675842	0.248617
0.676492	0.248617
0.677143	0.248617
0.677794	0.248616
0.678445	0.248616
0.679095	0.248616
0.679746	0.248616
0.680397	0.248616
0.681048	0.248616
0.681698	0.248616
0.682349	0.248615
0.683	0.248615
0.683651	0.248615
0.684301	0.248615
0.684952	0.248615
0.685603	0.248615
0.686253	0.248615
0.686904	0.248615
0.687555	0.248614
0.688206	0.248614
0.688856	0.248614
0.689507	0.248614
0.690158	0.248614
0.690809	0.248614
0.691459	0.248614
0.69211	0.248613
0.692761	0.248613
0.693412	0.248613
0.694062	0.248613
0.694713	0.248613
0.695364	0.248613
0.696014	0.248613
0.696665	0.248612
0.697316	0.248612
0.697967	0.248612
0.698617	0.248612
0.699268	0.248612
0.699919	0.248612
0.70057	0.248612
0.70122	0.248612
0.701871	0.248611
0.702522	0.248611
0.703172	0.248611
0.703823	0.248611
0.704474	0.248611
0.705125	0.248611
0.705775	0.248611
0.706426	0.24861
0.707077	0.24861
0.707728	0.24861
0.708378	0.24861
0.709029	0.24861
0.70968	0.24861
0.710331	0.24861
0.710981	0.248609
0.711632	0.248609
0.712283	0.248609
0.712933	0.248609
0.713584	0.248609
0.714235	0.248609
0.714886	0.248609
0.715536	0.248609
0.716187	0.248608
0.716838	0.248608
0.717489	0.248608
0.718139	0.248608
0.71879	0.248608
0.719441	0.248608
0.720092	0.248608
0.720742	0.248607
0.721393	0.248607
0.722044	0.248607
0.722694	0.248607
0.723345	0.248607
0.723996	0.248607
0.724647	0.248607
0.725297	0.248606
0.725948	0.248606
0.726599	0.248606
0.72725	0.248606
0.7279	0.248606
0.728551	0.248606
0.729202	0.248606
0.729853	0.248606
0.730503	0.248605
0.731154	0.248605
0.731805	0.248605
0.732455	0.248605
0.733106	0.248605
0.733757	0.248605
0.734408	0.248605
0.735058	0.248604
0.735709	0.248604
0.73636	0.248604
0.737011	0.248604
0.737661	0.248604
0.738312	0.248604
0.738963	0.248604
0.739614	0.248603
0.740264	0.248603
0.740915	0.248603
0.741566	0.248603
0.742216	0.248603
0.742867	0.248603
0.743518	0.248603
0.744169	0.248603
0.744819	0.248602
0.74547	0.248602
0.746121	0.248602
0.746772	0.248602
0.747422	0.248602
0.748073	0.248602
0.748724	0.248602
0.749374	0.248601
0.750025	0.248601
0.750676	0.248601
0.751327	0.248601
0.751977	0.248601
0.752628	0.248601
0.753279	0.248601
0.75393	0.2486
0.75458	0.2486
0.755231	0.2486
0.755882	0.2486
0.756533	0.2486
0.757183	0.2486
0.757834	0.2486
0.758485	0.248599
0.759135	0.248599
0.759786	0.248599
0.760437	0.248599
0.761088	0.248599
0.761738	0.248599
0.762389	0.248599
0.76304	0.248599
0.763691	0.248598
0.764341	0.248598
0.764992	0.248598
0.765643	0.248598
0.766294	0.248598
0.766944	0.248598
0.767595	0.248598
0.768246	0.248597
0.768896	0.248597
0.769547	0.248597
0.770198	0.248597
0.770849	0.248597
0.771499	0.248597
0.77215	0.248597
0.772801	0.248596
0.773452	0.248596
0.774102	0.248596
0.774753	0.248596
0.775404	0.248596
0.776055	0.248596
0.776705	0.248596
0.777356	0.248596
0.778007	0.248595
0.778657	0.248595
0.779308	0.248595
0.779959	0.248595
0.78061	0.248595
0.78126	0.248595
0.781911	0.248595
0.782562	0.248594
0.783213	0.248594
0.783863	0.248594
0.784514	0.248594
0.785165	0.248594
0.785815	0.248594
0.786466	0.248594
0.787117	0.248593
0.787768	0.248593
0.788418	0.248593
0.789069	0.248593
0.78972	0.248593
0.790371	0.248593
0.791021	0.248593
0.791672	0.248593
0.792323	0.248592
0.792974	0.248592
0.793624	0.248592
0.794275	0.248592
0.794926	0.248592
0.795576	0.248592
0.796227	0.248592
0.796878	0.248591
0.797529	0.248591
0.798179	0.248591
0.79883	0.248591
0.799481	0.248591
0.800132	0.248591
0.800782	0.248591
0.801433	0.24859
0.802084	0.24859
0.802735	0.24859
0.803385	0.24859
0.804036	0.24859
0.804687	0.24859
0.805337	0.24859
0.805988	0.24859
0.806639	0.248589
0.80729	0.248589
0.80794	0.248589
0.808591	0.248589
0.809242	0.248589
0.809893	0.248589
0.810543	0.248589
0.811194	0.248588
0.811845	0.248588
0.812496	0.248588
0.813146	0.248588
0.813797	0.248588
0.814448	0.248588
0.815098	0.248588
0.815749	0.248587
0.8164	0.248587
0.817051	0.248587
0.817701	0.248587
0.818352	0.248587
0.819003	0.248587
0.819654	0.248587
0.820304	0.248587
0.820955	0.248586
0.821606	0.248586
0.822256	0.248586
0.822907	0.248586
0.823558	0.248586
0.824209	0.248586
0.824859	0.248586
0.82551	0.248585
0.826161	0.248585
0.826812	0.248585
0.827462	0.248585
0.828113	0.248585
0.828764	0.248585
0.829415	0.248585
0.830065	0.248584
0.830716	0.248584
0.831367	0.248584
0.832017	0.248584
0.832668	0.248584
0.833319	0.248584
0.83397	0.248584
0.83462	0.248584
0.835271	0.248583
0.835922	0.248583
0.836573	0.248583
0.837223	0.248583
0.837874	0.248583
0.838525	0.248583
0.839176	0.248583
0.839826	0.248582
0.840477	0.248582
0.841128	0.248582
0.841778	0.248582
0.842429	0.248582
0.84308	0.248582
0.843731	0.248582
0.844381	0.248581
0.845032	0.248581
0.845683	0.248581
0.846334	0.248581
0.846984	0.248581
0.847635	0.248581
0.848286	0.248581
0.848937	0.248581
0.849587	0.24858
0.850238	0.24858
0.850889	0.24858
0.851539	0.24858
0.85219	0.24858
0.852841	0.24858
0.853492	0.24858
0.854142	0.248579
0.854793	0.248579
0.855444	0.248579
0.856095	0.248579
0.856745	0.248579
0.857396	0.248579
0.858047	0.248579
0.858697	0.248578
0.859348	0.248578
0.859999	0.248578
0.86065	0.248578
0.8613	0.248578
0.861951	0.248578
0.862602	0.248578
0.863253	0.248578
0.863903	0.248577
0.864554	0.248577
0.865205	0.248577
0.865856	0.248577
0.866506	0.248577
0.867157	0.248577
0.867808	0.248577
0.868458	0.248576
0.869109	0.248576
0.86976	0.248576
0.870411	0.248576
0.871061	0.248576
0.871712	0.248576
0.872363	0.248576
0.873014	0.248575
0.873664	0.248575
0.874315	0.248575
0.874966	0.248575
0.875617	0.248575
0.876267	0.248575
0.876918	0.248575
0.877569	0.248575
0.878219	0.248574
0.87887	0.248574
0.879521	0.248574
0.880172	0.248574
0.880822	0.248574
0.881473	0.248574
0.882124	0.248574
0.882775	0.248573
0.883425	0.248573
0.884076	0.248573
0.884727	0.248573
0.885378	0.248573
0.886028	0.248573
0.886679	0.248573
0.88733	0.248572
0.88798	0.248572
0.888631	0.248572
0.889282	0.248572
0.889933	0.248572
0.890583	0.248572
0.891234	0.248572
0.891885	0.248572
0.892536	0.248571
0.893186	0.248571
0.893837	0.248571
0.894488	0.248571
0.895139	0.248571
0.895789	0.248571
0.89644	0.248571
0.897091	0.24857
0.897741	0.24857
0.898392	0.24857
0.899043	0.24857
0.899694	0.24857
0.900344	0.24857
0.900995	0.24857
0.901646	0.248569
0.902297	0.248569
0.902947	0.248569
0.903598	0.248569
0.904249	0.248569
0.904899	0.248569
0.90555	0.248569
0.906201	0.248569
0.906852	0.248568
0.907502	0.248568
0.908153	0.248568
0.908804	0.248568
0.909455	0.248568
0.910105	0.248568
0.910756	0.248568
0.911407	0.248567
0.912058	0.248567
0.912708	0.248567
0.913359	0.248567
0.91401	0.248567
0.91466	0.248567
0.915311	0.248567
0.915962	0.248566
0.916613	0.248566
0.917263	0.248566
0.917914	0.248566
0.918565	0.248566
0.919216	0.248566
0.919866	0.248566
0.920517	0.248566
0.921168	0.248565
0.921819	0.248565
0.922469	0.248565
0.92312	0.248565
0.923771	0.248565
0.924421	0.248565
0.925072	0.248565
0.925723	0.248564
0.926374	0.248564
0.927024	0.248564
0.927675	0.248564
0.928326	0.248564
0.928977	0.248564
0.929627	0.248564
0.930278	0.248563
0.930929	0.248563
0.93158	0.248563
0.93223	0.248563
0.932881	0.248563
0.933532	0.248563
0.934182	0.248563
0.934833	0.248563
0.935484	0.248562
0.936135	0.248562
0.936785	0.248562
0.937436	0.248562
0.938087	0.248562
0.938738	0.248562
0.939388	0.248562
0.940039	0.248561
0.94069	0.248561
0.94134	0.248561
0.941991	0.248561
0.942642	0.248561
0.943293	0.248561
0.943943	0.248561
0.944594	0.248561
0.945245	0.24856
0.945896	0.24856
0.946546	0.24856
0.947197	0.24856
0.947848	0.24856
0.948499	0.24856
0.949149	0.24856
0.9498	0.248559
0.950451	0.248559
0.951101	0.248559
0.951752	0.248559
0.952403	0.248559
0.953054	0.248559
0.953704	0.248559
0.954355	0.248558
0.955006	0.248558
0.955657	0.248558
0.956307	0.248558
0.956958	0.248558
0.957609	0.248558
0.95826	0.248558
0.95891	0.248558
0.959561	0.248557
0.960212	0.248557
0.960862	0.248557
0.961513	0.248557
0.962164	0.248557
0.962815	0.248557
0.963465	0.248557
0.964116	0.248556
0.964767	0.248556
0.965418	0.248556
0.966068	0.248556
0.966719	0.248556
0.96737	0.248556
0.968021	0.248556
0.968671	0.248555
0.969322	0.248555
0.969973	0.248555
0.970623	0.248555
0.971274	0.248555
0.971925	0.248555
0.972576	0.248555
0.973226	0.248555
0.973877	0.248554
0.974528	0.248554
