x [um]	Electron Densities [1/cm^3]	Hole Densities [1/cm^3]
0.278895	6.23095e+12	1.00062e+16
0.279546	6.2785e+12	1.00063e+16
0.280197	6.32604e+12	1.00063e+16
0.280847	6.37359e+12	1.00064e+16
0.281498	6.42114e+12	1.00064e+16
0.282149	6.46869e+12	1.00065e+16
0.282799	6.51623e+12	1.00065e+16
0.28345	6.56378e+12	1.00066e+16
0.284101	6.61133e+12	1.00066e+16
0.284752	6.65887e+12	1.00067e+16
0.285402	6.70642e+12	1.00067e+16
0.286053	6.75396e+12	1.00068e+16
0.286704	6.80151e+12	1.00068e+16
0.287355	6.84905e+12	1.00069e+16
0.288005	6.8966e+12	1.00069e+16
0.288656	6.94414e+12	1.0007e+16
0.289307	6.99169e+12	1.0007e+16
0.289958	7.03923e+12	1.0007e+16
0.290608	7.08678e+12	1.00071e+16
0.291259	7.13432e+12	1.00071e+16
0.29191	7.18186e+12	1.00072e+16
0.29256	7.22941e+12	1.00072e+16
0.293211	7.27695e+12	1.00073e+16
0.293862	7.32449e+12	1.00073e+16
0.294513	7.37203e+12	1.00074e+16
0.295163	7.41958e+12	1.00074e+16
0.295814	7.46712e+12	1.00075e+16
0.296465	7.51466e+12	1.00075e+16
0.297116	7.5622e+12	1.00076e+16
0.297766	7.60974e+12	1.00076e+16
0.298417	7.65728e+12	1.00077e+16
0.299068	7.70482e+12	1.00077e+16
0.299719	7.75236e+12	1.00078e+16
0.300369	7.7999e+12	1.00078e+16
0.30102	7.84744e+12	1.00079e+16
0.301671	7.89498e+12	1.00079e+16
0.302321	7.94252e+12	1.00079e+16
0.302972	7.99006e+12	1.0008e+16
0.303623	8.0376e+12	1.0008e+16
0.304274	8.08514e+12	1.00081e+16
0.304924	8.13268e+12	1.00081e+16
0.305575	8.18022e+12	1.00082e+16
0.306226	8.22776e+12	1.00082e+16
0.306877	8.27529e+12	1.00083e+16
0.307527	8.32283e+12	1.00083e+16
0.308178	8.37037e+12	1.00084e+16
0.308829	8.41791e+12	1.00084e+16
0.30948	8.46544e+12	1.00085e+16
0.31013	8.51298e+12	1.00085e+16
0.310781	8.56051e+12	1.00086e+16
0.311432	8.60805e+12	1.00086e+16
0.312082	8.65559e+12	1.00087e+16
0.312733	8.70312e+12	1.00087e+16
0.313384	8.75066e+12	1.00088e+16
