x [um]	Electric Field [V/cm]	Electric Field [V/cm]
0.330954	2.10959	2.10958
0.331604	2.1096	2.1096
0.332255	2.10962	2.10961
0.332906	2.10963	2.10962
0.333557	2.10964	2.10964
0.334207	2.10966	2.10965
0.334858	2.10967	2.10966
0.335509	2.10968	2.10967
0.33616	2.10969	2.10968
0.33681	2.1097	2.1097
0.337461	2.10971	2.10971
0.338112	2.10972	2.10971
0.338762	2.10973	2.10972
0.339413	2.10974	2.10973
0.340064	2.10974	2.10974
0.340715	2.10975	2.10975
0.341365	2.10976	2.10976
0.342016	2.10977	2.10976
0.342667	2.10977	2.10977
0.343318	2.10978	2.10978
0.343968	2.10978	2.10978
0.344619	2.10979	2.10979
0.34527	2.10979	2.10979
0.345921	2.1098	2.1098
0.346571	2.1098	2.1098
0.347222	2.1098	2.1098
0.347873	2.10981	2.10981
0.348523	2.10981	2.10981
0.349174	2.10981	2.10981
0.349825	2.10982	2.10981
0.350476	2.10982	2.10982
0.351126	2.10982	2.10982
0.351777	2.10982	2.10982
0.352428	2.10982	2.10982
0.353079	2.10982	2.10982
0.353729	2.10982	2.10982
0.35438	2.10982	2.10982
0.355031	2.10982	2.10982
0.355681	2.10982	2.10982
0.356332	2.10982	2.10982
0.356983	2.10982	2.10982
0.357634	2.10981	2.10981
0.358284	2.10981	2.10981
0.358935	2.10981	2.10981
0.359586	2.10981	2.10981
0.360237	2.1098	2.1098
0.360887	2.1098	2.1098
0.361538	2.1098	2.1098
0.362189	2.10979	2.10979
0.36284	2.10979	2.10979
0.36349	2.10978	2.10979
0.364141	2.10978	2.10978
0.364792	2.10978	2.10978
0.365442	2.10977	2.10977
0.366093	2.10976	2.10977
0.366744	2.10976	2.10976
0.367395	2.10975	2.10976
0.368045	2.10975	2.10975
0.368696	2.10974	2.10974
0.369347	2.10973	2.10974
0.369998	2.10973	2.10973
0.370648	2.10972	2.10972
0.371299	2.10971	2.10972
0.37195	2.10971	2.10971
0.372601	2.1097	2.1097
0.373251	2.10969	2.1097
0.373902	2.10968	2.10969
0.374553	2.10968	2.10968
0.375203	2.10967	2.10967
0.375854	2.10966	2.10966
0.376505	2.10965	2.10965
0.377156	2.10964	2.10965
0.377806	2.10963	2.10964
0.378457	2.10962	2.10963
0.379108	2.10961	2.10962
0.379759	2.1096	2.10961
0.380409	2.10959	2.1096
0.38106	2.10959	2.10959
0.381711	2.10958	2.10958
0.382362	2.10956	2.10957
0.383012	2.10955	2.10956
0.383663	2.10954	2.10955
0.384314	2.10953	2.10954
0.384964	2.10952	2.10953
0.385615	2.10951	2.10952
0.386266	2.1095	2.10951
0.386917	2.10949	2.10949
0.387567	2.10948	2.10948
0.388218	2.10947	2.10947
0.388869	2.10945	2.10946
0.38952	2.10944	2.10945
0.39017	2.10943	2.10944
0.390821	2.10942	2.10942
0.391472	2.10941	2.10941
0.392122	2.10939	2.1094
0.392773	2.10938	2.10939
0.393424	2.10937	2.10938
0.394075	2.10936	2.10936
0.394725	2.10934	2.10935
0.395376	2.10933	2.10934
0.396027	2.10932	2.10932
0.396678	2.1093	2.10931
0.397328	2.10929	2.1093
0.397979	2.10928	2.10928
0.39863	2.10926	2.10927
0.399281	2.10925	2.10926
0.399931	2.10924	2.10924
0.400582	2.10922	2.10923
0.401233	2.10921	2.10922
0.401883	2.1092	2.1092
0.402534	2.10918	2.10919
0.403185	2.10917	2.10917
0.403836	2.10915	2.10916
0.404486	2.10914	2.10915
0.405137	2.10912	2.10913
0.405788	2.10911	2.10912
0.406439	2.10909	2.1091
0.407089	2.10908	2.10909
0.40774	2.10906	2.10907
0.408391	2.10905	2.10906
0.409042	2.10903	2.10904
0.409692	2.10902	2.10903
0.410343	2.109	2.10901
0.410994	2.10899	2.109
0.411644	2.10897	2.10898
0.412295	2.10896	2.10897
0.412946	2.10894	2.10895
0.413597	2.10893	2.10893
0.414247	2.10891	2.10892
0.414898	2.1089	2.1089
