x [um]	Total Current Density [Amp/cm^2]
0.400582	4.17811
0.401233	4.17811
0.401883	4.17812
0.402534	4.17812
0.403185	4.17812
0.403836	4.17813
0.404486	4.17813
0.405137	4.17813
0.405788	4.17814
0.406439	4.17814
0.407089	4.17814
0.40774	4.17815
0.408391	4.17815
0.409042	4.17815
0.409692	4.17816
0.410343	4.17816
0.410994	4.17816
0.411644	4.17817
0.412295	4.17817
0.412946	4.17817
0.413597	4.17818
0.414247	4.17818
0.414898	4.17818
0.415549	4.17819
0.4162	4.17819
0.41685	4.1782
0.417501	4.1782
0.418152	4.1782
0.418803	4.17821
0.419453	4.17821
0.420104	4.17821
0.420755	4.17822
0.421405	4.17822
0.422056	4.17822
0.422707	4.17823
0.423358	4.17823
0.424008	4.17823
0.424659	4.17824
0.42531	4.17824
0.425961	4.17824
0.426611	4.17825
0.427262	4.17825
0.427913	4.17826
0.428563	4.17826
0.429214	4.17826
0.429865	4.17827
0.430516	4.17827
0.431166	4.17827
0.431817	4.17828
0.432468	4.17828
0.433119	4.17829
0.433769	4.17829
0.43442	4.17829
0.435071	4.1783
0.435722	4.1783
0.436372	4.1783
0.437023	4.17831
0.437674	4.17831
0.438324	4.17832
0.438975	4.17832
0.439626	4.17832
0.440277	4.17833
0.440927	4.17833
0.441578	4.17833
0.442229	4.17834
0.44288	4.17834
0.44353	4.17835
0.444181	4.17835
0.444832	4.17835
0.445483	4.17836
0.446133	4.17836
0.446784	4.17837
0.447435	4.17837
0.448085	4.17837
0.448736	4.17838
0.449387	4.17838
0.450038	4.17838
0.450688	4.17839
0.451339	4.17839
0.45199	4.1784
0.452641	4.1784
0.453291	4.1784
0.453942	4.17841
0.454593	4.17841
0.455244	4.17842
0.455894	4.17842
0.456545	4.17842
0.457196	4.17843
0.457846	4.17843
0.458497	4.17844
0.459148	4.17844
0.459799	4.17844
0.460449	4.17845
0.4611	4.17845
0.461751	4.17846
0.462402	4.17846
0.463052	4.17847
0.463703	4.17847
0.464354	4.17847
0.465005	4.17848
0.465655	4.17848
0.466306	4.17849
0.466957	4.17849
0.467607	4.17849
0.468258	4.1785
0.468909	4.1785
0.46956	4.17851
0.47021	4.17851
0.470861	4.17852
0.471512	4.17852
0.472163	4.17852
0.472813	4.17853
0.473464	4.17853
0.474115	4.17854
0.474765	4.17854
0.475416	4.17855
0.476067	4.17855
0.476718	4.17855
0.477368	4.17856
0.478019	4.17856
0.47867	4.17857
0.479321	4.17857
0.479971	4.17858
0.480622	4.17858
0.481273	4.17858
0.481924	4.17859
0.482574	4.17859
0.483225	4.1786
0.483876	4.1786
0.484526	4.17861
0.485177	4.17861
0.485828	4.17862
0.486479	4.17862
0.487129	4.17862
0.48778	4.17863
0.488431	4.17863
0.489082	4.17864
0.489732	4.17864
0.490383	4.17865
0.491034	4.17865
0.491685	4.17866
0.492335	4.17866
0.492986	4.17867
0.493637	4.17867
0.494287	4.17867
0.494938	4.17868
0.495589	4.17868
0.49624	4.17869
0.49689	4.17869
0.497541	4.1787
0.498192	4.1787
0.498843	4.17871
0.499493	4.17871
0.500144	4.17872
0.500795	4.17872
0.501446	4.17873
0.502096	4.17873
0.502747	4.17873
0.503398	4.17874
0.504048	4.17874
0.504699	4.17875
0.50535	4.17875
0.506001	4.17876
0.506651	4.17876
0.507302	4.17877
0.507953	4.17877
0.508604	4.17878
0.509254	4.17878
0.509905	4.17879
0.510556	4.17879
0.511206	4.1788
0.511857	4.1788
0.512508	4.17881
0.513159	4.17881
0.513809	4.17882
0.51446	4.17882
0.515111	4.17883
0.515762	4.17883
0.516412	4.17884
0.517063	4.17884
0.517714	4.17885
0.518365	4.17885
0.519015	4.17886
0.519666	4.17886
0.520317	4.17887
0.520967	4.17887
0.521618	4.17888
0.522269	4.17888
0.52292	4.17889
0.52357	4.17889
0.524221	4.1789
0.524872	4.1789
0.525523	4.17891
0.526173	4.17891
0.526824	4.17892
0.527475	4.17892
0.528126	4.17893
0.528776	4.17893
0.529427	4.17894
0.530078	4.17894
0.530728	4.17895
0.531379	4.17895
0.53203	4.17896
0.532681	4.17896
0.533331	4.17897
0.533982	4.17897
0.534633	4.17898
0.535284	4.17898
0.535934	4.17899
0.536585	4.17899
0.537236	4.179
0.537887	4.179
0.538537	4.17901
0.539188	4.17901
0.539839	4.17902
0.540489	4.17902
0.54114	4.17903
0.541791	4.17903
0.542442	4.17904
0.543092	4.17904
0.543743	4.17905
0.544394	4.17906
0.545045	4.17906
0.545695	4.17907
0.546346	4.17907
0.546997	4.17908
0.547647	4.17908
0.548298	4.17909
0.548949	4.17909
0.5496	4.1791
0.55025	4.1791
0.550901	4.17911
0.551552	4.17911
0.552203	4.17912
0.552853	4.17913
0.553504	4.17913
0.554155	4.17914
0.554806	4.17914
0.555456	4.17915
0.556107	4.17915
0.556758	4.17916
0.557408	4.17916
0.558059	4.17917
0.55871	4.17917
0.559361	4.17918
0.560011	4.17919
0.560662	4.17919
0.561313	4.1792
0.561964	4.1792
0.562614	4.17921
0.563265	4.17921
0.563916	4.17922
0.564567	4.17922
0.565217	4.17923
0.565868	4.17924
0.566519	4.17924
0.567169	4.17925
0.56782	4.17925
0.568471	4.17926
0.569122	4.17926
0.569772	4.17927
0.570423	4.17928
0.571074	4.17928
0.571725	4.17929
0.572375	4.17929
0.573026	4.1793
0.573677	4.1793
0.574328	4.17931
0.574978	4.17932
0.575629	4.17932
0.57628	4.17933
0.57693	4.17933
0.577581	4.17934
0.578232	4.17934
0.578883	4.17935
0.579533	4.17936
0.580184	4.17936
0.580835	4.17937
0.581486	4.17937
0.582136	4.17938
0.582787	4.17939
0.583438	4.17939
0.584089	4.1794
0.584739	4.1794
0.58539	4.17941
0.586041	4.17942
0.586691	4.17942
0.587342	4.17943
0.587993	4.17943
0.588644	4.17944
0.589294	4.17945
0.589945	4.17945
0.590596	4.17946
0.591247	4.17946
0.591897	4.17947
0.592548	4.17948
0.593199	4.17948
0.593849	4.17949
0.5945	4.17949
