x [um]	Potential [V]	Electric Field1 [V/cm]	Electric Field2 [V/cm]	Electron Densities [1/cm^3]	Hole Densities [1/cm^3]	Total Charge Density [C/cm^3]	Conduction Band Energy (eV)
0.233995	-0.346552	-0.0228738	-0.0230561	22499.9	1e+16	3.67169e+10	0.898227
0.234645	-0.346552	-0.022515	-0.0226944	22499.9	1e+16	3.61409e+10	0.898227
0.235296	-0.346552	-0.0221618	-0.0223384	22499.9	1e+16	3.5574e+10	0.898227
0.235947	-0.346552	-0.0218141	-0.021988	22499.9	1e+16	3.50159e+10	0.898227
0.236597	-0.346552	-0.021472	-0.021643	22499.9	1e+16	3.44666e+10	0.898227
0.237248	-0.346552	-0.0211351	-0.0213035	22499.9	1e+16	3.3926e+10	0.898227
0.237899	-0.346552	-0.0208036	-0.0209694	22499.9	1e+16	3.33938e+10	0.898227
0.23855	-0.346552	-0.0204772	-0.0206404	22499.9	1e+16	3.28699e+10	0.898227
0.2392	-0.346552	-0.020156	-0.0203166	22499.9	1e+16	3.23543e+10	0.898227
0.239851	-0.346552	-0.0198398	-0.0199979	22499.9	1e+16	3.18467e+10	0.898227
0.240502	-0.346552	-0.0195286	-0.0196842	22499.9	1e+16	3.13472e+10	0.898227
0.241153	-0.346552	-0.0192223	-0.0193754	22499.9	1e+16	3.08554e+10	0.898227
0.241803	-0.346552	-0.0189207	-0.0190715	22499.9	1e+16	3.03714e+10	0.898227
0.242454	-0.346552	-0.0186239	-0.0187723	22499.9	1e+16	2.9895e+10	0.898227
0.243105	-0.346552	-0.0183318	-0.0184778	22499.9	1e+16	2.9426e+10	0.898227
0.243756	-0.346552	-0.0180442	-0.018188	22499.9	1e+16	2.89644e+10	0.898227
0.244406	-0.346552	-0.0177611	-0.0179027	22499.9	1e+16	2.851e+10	0.898227
0.245057	-0.346552	-0.0174825	-0.0176218	22499.9	1e+16	2.80628e+10	0.898227
0.245708	-0.346552	-0.0172083	-0.0173454	22499.9	1e+16	2.76226e+10	0.898227
0.246358	-0.346552	-0.0169383	-0.0170733	22499.9	1e+16	2.71893e+10	0.898227
0.247009	-0.346552	-0.0166726	-0.0168055	22499.9	1e+16	2.67627e+10	0.898227
0.24766	-0.346552	-0.0164111	-0.0165418	22499.9	1e+16	2.63429e+10	0.898227
0.248311	-0.346552	-0.0161536	-0.0162824	22499.9	1e+16	2.59297e+10	0.898227
0.248961	-0.346552	-0.0159002	-0.0160269	22499.9	1e+16	2.55229e+10	0.898227
0.249612	-0.346552	-0.0156508	-0.0157755	22499.9	1e+16	2.51225e+10	0.898227
0.250263	-0.346552	-0.0154053	-0.0155281	22499.9	1e+16	2.47284e+10	0.898227
0.250914	-0.346552	-0.0151636	-0.0152845	22499.9	1e+16	2.43405e+10	0.898227
0.251564	-0.346552	-0.0149258	-0.0150447	22499.9	1e+16	2.39587e+10	0.898227
0.252215	-0.346552	-0.0146916	-0.0148087	22499.9	1e+16	2.35829e+10	0.898227
0.252866	-0.346552	-0.0144612	-0.0145764	22499.9	1e+16	2.32129e+10	0.898227
0.253517	-0.346552	-0.0142343	-0.0143477	22499.9	1e+16	2.28488e+10	0.898227
0.254167	-0.346552	-0.014011	-0.0141227	22499.9	1e+16	2.24904e+10	0.898227
0.254818	-0.346552	-0.0137912	-0.0139011	22500	1e+16	2.21375e+10	0.898227
0.255469	-0.346552	-0.0135749	-0.0136831	22500	1e+16	2.17903e+10	0.898227
0.256119	-0.346552	-0.0133619	-0.0134684	22500	1e+16	2.14485e+10	0.898227
0.25677	-0.346552	-0.0131523	-0.0132571	22500	1e+16	2.1112e+10	0.898227
0.257421	-0.346552	-0.012946	-0.0130492	22500	1e+16	2.07808e+10	0.898227
