x [um]	Electron Densities [1/cm^3]	Hole Densities [1/cm^3]
0.19364916731037085	22499.779817053422	1.0000097860045018e+16
0.19429989953336313	47570465784.3415	1.0000143857295704e+16
0.1949506317563554	95140663008.25087	1.0000189878858006e+16
0.1956013639793477	142710614000.48273	1.000023592434683e+16
0.19625209620233997	190280318595.4795	1.0000281993383248e+16
0.19690282842533224	237849776632.99612	1.0000328085594362e+16
0.19755356064832452	285418987957.9908	1.0000374200613042e+16
0.1982042928713168	332987952419.4943	1.0000420338077994e+16
0.19885502509430908	380556669872.5438	1.0000466497633564e+16
0.19950575731730136	428125140177.0578	1.000051267892966e+16
0.20015648954029364	475693363196.71576	1.0000558881621684e+16
0.20080722176328591	523261338800.8926	1.0000605105370466e+16
0.2014579539862782	570829066862.5288	1.0000651349842072e+16
0.20210868620927047	618396547260.0599	1.000069761470792e+16
0.20275941843226275	665963779875.298	1.0000743899644474e+16
0.20341015065525503	713530764594.3478	1.0000790204333334e+16
0.2040608828782473	761097501309.5475	1.0000836528461104e+16
0.20471161510123959	808663989914.3091	1.0000882871719226e+16
0.20536234732423186	856230230308.0962	1.0000929233804064e+16
0.20601307954722414	903796222393.3053	1.0000975614416662e+16
0.20666381177021642	951361966077.1984	1.0001022013262822e+16
0.2073145439932087	998927461269.801	1.000106843005292e+16
0.20796527621620098	1046492707884.8351	1.0001114864501862e+16
0.20861600843919326	1094057705839.6349	1.0001161316329034e+16
0.20926674066218554	1141622455056.0847	1.0001207785258234e+16
0.2099174728851778	1189186955458.5115	1.0001254271017636e+16
0.2105682051081701	1236751206975.648	1.0001300773339604e+16
0.21121893733116237	1284315209537.519	1.0001347291960688e+16
0.21186966955415465	1331878963079.4055	1.0001393826621628e+16
0.21252040177714693	1379442467538.7554	1.0001440377067184e+16
0.2131711340001392	1427005722856.1165	1.0001486943046138e+16
0.21382186622313148	1474568728975.0652	1.0001533524311258e+16
0.21447259844612376	1522131485842.1606	1.0001580120619094e+16
0.21512333066911604	1569693993407.8628	1.0001626731730098e+16
0.21577406289210832	1617256251623.4631	1.0001673357408408e+16
0.2164247951151006	1664818260445.0503	1.000171999742188e+16
0.21707552733809288	1712380019830.4143	1.000176665154204e+16
0.21772625956108516	1759941529739.0024	1.0001813319543962e+16
0.21837699178407743	1807502790134.87	1.0001860001206282e+16
0.2190277240070697	1855063800983.6182	1.0001906696311054e+16
0.219678456230062	1902624562253.3203	1.0001953404643816e+16
0.22032918845305427	1950185073913.4805	1.0002000125993434e+16
0.22097992067604655	1997745335937.991	1.0002046860152102e+16
0.22163065289903883	2045305348302.0728	1.0002093606915216e+16
0.2222813851220311	2092865110982.2065	1.0002140366081414e+16
0.22293211734502338	2140424623959.0913	1.0002187137452568e+16
0.22358284956801566	2187983887213.6177	1.000223392083351e+16
0.22423358179100794	2235542900729.7764	1.0002280716032268e+16
0.22488431401400022	2283101664494.6616	1.0002327522859776e+16
0.2255350462369925	2330660178495.374	1.0002374341129988e+16
0.22618577845998478	2378218442722.004	1.0002421170659772e+16
0.22683651068297705	2425776457165.5693	1.00024680112689e+16
0.22748724290596933	2473334221821.005	1.0002514862779916e+16
0.2281379751289616	2520891736683.0894	1.0002561725018134e+16
0.2287887073519539	2568449001750.407	1.0002608597811666e+16
0.22943943957494617	2616006017021.3135	1.0002655480991276e+16
0.23009017179793845	2663562782496.8906	1.0002702374390404e+16
0.23074090402093073	2711119298178.909	1.000274927784508e+16
0.231391636243923	2758675564071.796	1.00027961911939e+16
0.23204236846691528	2806231580182.5854	1.0002843114278028e+16
0.23269310068990756	2853787346516.876	1.0002890046941106e+16
0.23334383291289984	2901342863084.829	1.0002936989029196e+16
0.23399456513589212	2948898129896.084	1.0002983940390816e+16
0.2346452973588844	2996453146962.757	1.0003030900876852e+16
0.23529602958187668	3044007914298.3965	1.0003077870340534e+16
0.23594676180486895	3091562431916.9624	1.0003124848637344e+16
0.23659749402786123	3139116699834.779	1.0003171835625048e+16
0.2372482262508535	3186670718069.498	1.000321883116367e+16
0.2378989584738458	3234224486639.06	1.000326583511547e+16
0.23854969069683807	3281778005563.724	1.0003312847344732e+16
0.23920042291983035	3329331274863.9434	1.0003359867718012e+16
0.23985115514282263	3376884294563.407	1.0003406896103908e+16
0.2405018873658149	3424437064683.9976	1.0003453932373036e+16
0.24115261958880718	3471989585251.746	1.0003500976398076e+16
