x [um]	Electric Field [V/cm]	Electric Field [V/cm]
0.19364916731037085	2.0544262354524845	2.053948219565089
0.19429989953336313	2.0544262354524845	2.053948219565089
0.1949506317563554	2.055366958980205	2.0548965972163447
0.1956013639793477	2.0562926141135733	2.055829786546889
0.19625209620233997	2.057203437178063	2.056748025645818
0.19690282842533224	2.058099660971902	2.0576515490749827
0.19755356064832452	2.058981514060622	2.0585405875162617
0.1982042928713168	2.059849219366161	2.0594153667133916
0.19885502509430908	2.060703001221358	2.0602761102937595
0.19950575731730136	2.061543079020905	2.0611230401211316
0.20015648954029364	2.0623696643995544	2.06195637171023
0.20080722176328591	2.0631829696975075	2.062776317048531
0.2014579539862782	2.06398320372772	2.063583086712614
0.20210868620927047	2.064770573186799	2.0643768884572595
0.20275941843226275	2.0655452770114127	2.065157925099106
0.20341015065525503	2.066307514843676	2.0659263959275442
0.2040608828782473	2.067057481387562	2.0666824981156187
0.20471161510123959	2.067795371347042	2.0674264263673017
0.20536234732423186	2.068521371666147	2.0681583715065943
0.20601307954722414	2.069235668583459	2.068878520124803
0.20666381177021642	2.069938446926662	2.0695870577550606
0.2073145439932087	2.070629887290744	2.070284167108703
0.20796527621620098	2.0713101667434475	2.0709700270170956
0.20861600843919326	2.071979461647066	2.0716448141952566
0.20926674066218554	2.072637942014851	2.0723087018309587
0.2099174728851778	2.0732857799764	2.0729618609956257
0.2105682051081701	2.0739231391959225	2.073604459586161
0.21121893733116237	2.07455018757032	2.0742366633831213
0.21186966955415465	2.0751670831202094	2.074858635345265
0.21252040177714693	2.0757739866880014	2.075470534904105
0.2131711340001392	2.0763710569997595	2.07607252184388
0.21382186622313148	2.0769584464325064	2.0766647517161334
0.21447259844612376	2.0775363045414665	2.0772473754869862
0.21512333066911604	2.0781047837036613	2.077820544122564
0.21577406289210832	2.0786640306525186	2.0783844071780897
0.2164247951151006	2.0792141907105686	2.0789391106815436
0.21707552733809288	2.079755404967646	2.079484797839107
0.21772625956108516	2.080287813808136	2.080021609387891
0.21837699178407743	2.080811554089179	2.0805496839486577
0.2190277240070697	2.081326764078813	2.081069159083996
0.219678456230062	2.081833574990584	2.081580169534698
0.22032918845305427	2.082332120154385	2.0820828475724844
0.22097992067604655	2.0828225300783147	2.0825773251163504
0.22163065289903883	2.0833049303323254	2.0830637302053203
0.2222813851220311	2.083779449308167	2.083542189820246
0.22293211734502338	2.0842462076376473	2.084012828472907
0.22358284956801566	2.0847053287743726	2.0844757682060098
0.22423358179100794	2.0851569298229053	2.084931129298639
0.22488431401400022	2.0856011328259525	2.085379031324429
0.2255350462369925	2.086038050655383	2.085819591740668
0.22618577845998478	2.0864677982994104	2.0862529244773964
0.22683651068297705	2.0868904886299036	2.0866791434646568
0.22748724290596933	2.0873062316969335	2.0870983601634183
0.2281379751289616	2.0877151368451217	2.0875106842710274
0.2287887073519539	2.088117311302743	2.087916224073932
0.22943943957494617	2.0885128608871737	2.0883150860949584
0.23009017179793845	2.0889018885939925	2.0887073747405833
0.23074090402093073	2.0892844981242287	2.0890931933591106
0.231391636243923	2.0896607903571134	2.0894726442406713
0.23204236846691528	2.0900308605282856	2.0898458254426995
0.23269310068990756	2.090394809516977	2.090212835022631
0.23334383291289984	2.090752733264275	2.090573771390626
0.23399456513589212	2.0911047263003693	2.090928729782322
0.2346452973588844	2.0914508796282028	2.091277802964286
0.23529602958187668	2.091791287072516	2.0916210833503595
0.23594676180486895	2.092126038930803	2.09195866300166
0.23659749402786123	2.092455221973313	2.092290630452058
0.2372482262508535	2.0927789243811903	2.0926170731772515
0.2378989584738458	2.093097231513788	2.092938077947489
0.23854969069683807	2.0934102294359036	2.0932537304748453
0.23920042291983035	2.093717999979641	2.0935641147077724
0.23985115514282263	2.094020624977105	2.093869312478373
0.2405018873658149	2.0943181869658494	2.0941694059714777
0.24115261958880718	2.0946107642507314	2.0944644756082904
0.24180335181179946	2.0948984337257115	2.0947545989882217
0.24245408403479174	2.095181274401097	2.0950398540634043
0.24310481625778402	2.095459361054501	2.0953203177277993
0.2437555484807763	2.095732767052637	2.0955960640535687
0.24440628070376857	2.0960015671731167	2.095867167112877
0.24505701292676085	2.0962658347826553	2.096133700977886
0.24570774514975313	2.0965256390152716	2.0963957368989634
0.2463584773727454	2.0967810497104336	2.0966533443628523
0.2470092095957377	2.0970321367076092	2.096906593209021
0.24765994181872997	2.09727896702447	2.0971555518660394
0.24831067404172225	2.0975216083841377	2.097400287704304
0.24896140626471452	2.097760126393384	2.097640867388761
0.2496121384877068	2.097994585248085	2.0978773558207346
0.2502628707106991	2.098225047733216	2.0981098164906506
0.25091360293369136	2.0984515794555514	2.0983383135943834
0.25156433515668364	2.0986742396728206	2.098562909564186
0.2522150673796759	2.0988930904645517	2.098783665068686
0.2528657996026682	2.0991081903830255	2.0990006404237884
0.2535165318256605	2.0993195972750747	2.09921389382905
0.25416726404865275	2.0995273703984303	2.0994234838367523
0.25481799627164503	2.099731566894474	2.099629468646452
0.2554687284946373	2.099932243199141	2.0998319050468077
0.2561194607176296	2.100129453632017	2.100030848415579
0.25677019294062187	2.1003232525126894	2.1002263530723533
0.25742092516361414	2.100513694160743	2.100418473336716
0.2580716573866064	2.100700830073969	2.100607262117356
0.2587223896095987	2.1008847124556045	2.100792771264787
0.259373121832591	2.1010653942143396	2.100975053334972
0.26002385405558326	2.1012429226152674	2.1011541584148032
0.26067458627857554	2.1014173491561783	2.101330135885723
0.2613253185015678	2.101588721807616	2.101503035481897
0.2619760507245601	2.1017570892455733	2.1016729055265944
