x [um]	Potential [V]	Electric Field1 [V/cm]	Electric Field2 [V/cm]	Electron Densities [1/cm^3]	Hole Densities [1/cm^3]	Total Charge Density [C/cm^3]	Conduction Band Energy (eV)
2.235828e-01	-3.465519e-01	-2.945820e-02	-2.969294e-02	2.249989e+04	1.000005e+16	4.728616e+10	8.982268e-01
2.242336e-01	-3.465519e-01	-2.899609e-02	-2.922715e-02	2.249990e+04	1.000005e+16	4.654438e+10	8.982268e-01
2.248843e-01	-3.465519e-01	-2.854123e-02	-2.876866e-02	2.249990e+04	1.000005e+16	4.581424e+10	8.982268e-01
2.255350e-01	-3.465519e-01	-2.809351e-02	-2.831737e-02	2.249990e+04	1.000005e+16	4.509555e+10	8.982268e-01
2.261858e-01	-3.465519e-01	-2.765281e-02	-2.787316e-02	2.249990e+04	1.000004e+16	4.438814e+10	8.982268e-01
2.268365e-01	-3.465518e-01	-2.721902e-02	-2.743592e-02	2.249990e+04	1.000004e+16	4.369183e+10	8.982268e-01
2.274872e-01	-3.465518e-01	-2.679204e-02	-2.700553e-02	2.249990e+04	1.000004e+16	4.300644e+10	8.982268e-01
2.281380e-01	-3.465518e-01	-2.637176e-02	-2.658190e-02	2.249990e+04	1.000004e+16	4.233180e+10	8.982267e-01
2.287887e-01	-3.465518e-01	-2.595806e-02	-2.616491e-02	2.249991e+04	1.000004e+16	4.166774e+10	8.982267e-01
2.294394e-01	-3.465518e-01	-2.555086e-02	-2.575446e-02	2.249991e+04	1.000004e+16	4.101410e+10	8.982267e-01
2.300902e-01	-3.465518e-01	-2.515005e-02	-2.535046e-02	2.249991e+04	1.000004e+16	4.037071e+10	8.982267e-01
2.307409e-01	-3.465518e-01	-2.475553e-02	-2.495279e-02	2.249991e+04	1.000004e+16	3.973742e+10	8.982267e-01
2.313916e-01	-3.465518e-01	-2.436719e-02	-2.456136e-02	2.249991e+04	1.000004e+16	3.911406e+10	8.982267e-01
2.320424e-01	-3.465518e-01	-2.398494e-02	-2.417607e-02	2.249991e+04	1.000004e+16	3.850048e+10	8.982267e-01
2.326931e-01	-3.465518e-01	-2.360869e-02	-2.379682e-02	2.249991e+04	1.000004e+16	3.789652e+10	8.982267e-01
2.333438e-01	-3.465518e-01	-2.323834e-02	-2.342352e-02	2.249992e+04	1.000004e+16	3.730204e+10	8.982267e-01
2.339946e-01	-3.465518e-01	-2.287381e-02	-2.305608e-02	2.249992e+04	1.000004e+16	3.671689e+10	8.982267e-01
2.346453e-01	-3.465518e-01	-2.251499e-02	-2.269440e-02	2.249992e+04	1.000004e+16	3.614091e+10	8.982267e-01
2.352960e-01	-3.465518e-01	-2.216180e-02	-2.233839e-02	2.249992e+04	1.000004e+16	3.557397e+10	8.982267e-01
2.359468e-01	-3.465518e-01	-2.181415e-02	-2.198797e-02	2.249992e+04	1.000004e+16	3.501592e+10	8.982267e-01
2.365975e-01	-3.465518e-01	-2.147195e-02	-2.164305e-02	2.249992e+04	1.000003e+16	3.446663e+10	8.982267e-01
2.372482e-01	-3.465518e-01	-2.113512e-02	-2.130354e-02	2.249992e+04	1.000003e+16	3.392595e+10	8.982267e-01
2.378990e-01	-3.465518e-01	-2.080358e-02	-2.096935e-02	2.249992e+04	1.000003e+16	3.339376e+10	8.982267e-01
2.385497e-01	-3.465518e-01	-2.047724e-02	-2.064041e-02	2.249993e+04	1.000003e+16	3.286991e+10	8.982267e-01
2.392004e-01	-3.465518e-01	-2.015601e-02	-2.031662e-02	2.249993e+04	1.000003e+16	3.235428e+10	8.982267e-01
2.398512e-01	-3.465518e-01	-1.983982e-02	-1.999792e-02	2.249993e+04	1.000003e+16	3.184674e+10	8.982267e-01
2.405019e-01	-3.465518e-01	-1.952860e-02	-1.968421e-02	2.249993e+04	1.000003e+16	3.134716e+10	8.982267e-01
2.411526e-01	-3.465518e-01	-1.922226e-02	-1.937543e-02	2.249993e+04	1.000003e+16	3.085542e+10	8.982267e-01
2.418034e-01	-3.465518e-01	-1.892072e-02	-1.907149e-02	2.249993e+04	1.000003e+16	3.037140e+10	8.982267e-01
2.424541e-01	-3.465518e-01	-1.862391e-02	-1.877232e-02	2.249993e+04	1.000003e+16	2.989496e+10	8.982267e-01
2.431048e-01	-3.465518e-01	-1.833176e-02	-1.847784e-02	2.249993e+04	1.000003e+16	2.942600e+10	8.982267e-01
2.437555e-01	-3.465518e-01	-1.804419e-02	-1.818798e-02	2.249993e+04	1.000003e+16	2.896440e+10	8.982267e-01
2.444063e-01	-3.465518e-01	-1.776114e-02	-1.790267e-02	2.249994e+04	1.000003e+16	2.851003e+10	8.982267e-01
2.450570e-01	-3.465518e-01	-1.748252e-02	-1.762183e-02	2.249994e+04	1.000003e+16	2.806280e+10	8.982267e-01
2.457077e-01	-3.465518e-01	-1.720827e-02	-1.734540e-02	2.249994e+04	1.000003e+16	2.762258e+10	8.982267e-01
2.463585e-01	-3.465518e-01	-1.693833e-02	-1.707330e-02	2.249994e+04	1.000003e+16	2.718926e+10	8.982267e-01
2.470092e-01	-3.465518e-01	-1.667262e-02	-1.680547e-02	2.249994e+04	1.000003e+16	2.676275e+10	8.982267e-01
2.476599e-01	-3.465518e-01	-1.641108e-02	-1.654185e-02	2.249994e+04	1.000003e+16	2.634292e+10	8.982267e-01
2.483107e-01	-3.465518e-01	-1.615364e-02	-1.628236e-02	2.249994e+04	1.000003e+16	2.592968e+10	8.982267e-01
2.489614e-01	-3.465518e-01	-1.590024e-02	-1.602694e-02	2.249994e+04	1.000003e+16	2.552292e+10	8.982267e-01
2.496121e-01	-3.465518e-01	-1.565081e-02	-1.577552e-02	2.249994e+04	1.000003e+16	2.512254e+10	8.982267e-01
2.502629e-01	-3.465518e-01	-1.540530e-02	-1.552805e-02	2.249994e+04	1.000002e+16	2.472845e+10	8.982267e-01
2.509136e-01	-3.465518e-01	-1.516364e-02	-1.528447e-02	2.249995e+04	1.000002e+16	2.434053e+10	8.982267e-01
2.515643e-01	-3.465518e-01	-1.492577e-02	-1.504470e-02	2.249995e+04	1.000002e+16	2.395870e+10	8.982267e-01
2.522151e-01	-3.465518e-01	-1.469163e-02	-1.480870e-02	2.249995e+04	1.000002e+16	2.358287e+10	8.982267e-01
2.528658e-01	-3.465518e-01	-1.446116e-02	-1.457639e-02	2.249995e+04	1.000002e+16	2.321292e+10	8.982267e-01
2.535165e-01	-3.465518e-01	-1.423431e-02	-1.434774e-02	2.249995e+04	1.000002e+16	2.284878e+10	8.982267e-01
2.541673e-01	-3.465518e-01	-1.401102e-02	-1.412266e-02	2.249995e+04	1.000002e+16	2.249035e+10	8.982267e-01
2.548180e-01	-3.465518e-01	-1.379123e-02	-1.390112e-02	2.249995e+04	1.000002e+16	2.213755e+10	8.982267e-01
2.554687e-01	-3.465518e-01	-1.357488e-02	-1.368306e-02	2.249995e+04	1.000002e+16	2.179028e+10	8.982267e-01
2.561195e-01	-3.465518e-01	-1.336194e-02	-1.346841e-02	2.249995e+04	1.000002e+16	2.144845e+10	8.982267e-01
2.567702e-01	-3.465518e-01	-1.315233e-02	-1.325713e-02	2.249995e+04	1.000002e+16	2.111199e+10	8.982267e-01
2.574209e-01	-3.465518e-01	-1.294601e-02	-1.304917e-02	2.249995e+04	1.000002e+16	2.078081e+10	8.982267e-01
2.580717e-01	-3.465518e-01	-1.274293e-02	-1.284447e-02	2.249995e+04	1.000002e+16	2.045482e+10	8.982267e-01
2.587224e-01	-3.465518e-01	-1.254303e-02	-1.264298e-02	2.249995e+04	1.000002e+16	2.013395e+10	8.982267e-01
2.593731e-01	-3.465518e-01	-1.234627e-02	-1.244465e-02	2.249996e+04	1.000002e+16	1.981811e+10	8.982267e-01
2.600239e-01	-3.465518e-01	-1.215259e-02	-1.224943e-02	2.249996e+04	1.000002e+16	1.950722e+10	8.982267e-01
2.606746e-01	-3.465518e-01	-1.196196e-02	-1.205728e-02	2.249996e+04	1.000002e+16	1.920121e+10	8.982267e-01
2.613253e-01	-3.465518e-01	-1.177431e-02	-1.186814e-02	2.249996e+04	1.000002e+16	1.890000e+10	8.982267e-01
2.619761e-01	-3.465518e-01	-1.158961e-02	-1.168196e-02	2.249996e+04	1.000002e+16	1.860352e+10	8.982267e-01
2.626268e-01	-3.465518e-01	-1.140781e-02	-1.149871e-02	2.249996e+04	1.000002e+16	1.831169e+10	8.982267e-01
2.632775e-01	-3.465518e-01	-1.122885e-02	-1.131833e-02	2.249996e+04	1.000002e+16	1.802443e+10	8.982267e-01
2.639282e-01	-3.465518e-01	-1.105271e-02	-1.114078e-02	2.249996e+04	1.000002e+16	1.774168e+10	8.982267e-01
2.645790e-01	-3.465518e-01	-1.087933e-02	-1.096602e-02	2.249996e+04	1.000002e+16	1.746337e+10	8.982267e-01
2.652297e-01	-3.465518e-01	-1.070866e-02	-1.079399e-02	2.249996e+04	1.000002e+16	1.718942e+10	8.982267e-01
2.658804e-01	-3.465518e-01	-1.054068e-02	-1.062467e-02	2.249996e+04	1.000002e+16	1.691977e+10	8.982267e-01
2.665312e-01	-3.465518e-01	-1.037533e-02	-1.045800e-02	2.249996e+04	1.000002e+16	1.665435e+10	8.982267e-01
2.671819e-01	-3.465518e-01	-1.021257e-02	-1.029395e-02	2.249996e+04	1.000002e+16	1.639310e+10	8.982267e-01
2.678326e-01	-3.465518e-01	-1.005236e-02	-1.013247e-02	2.249996e+04	1.000002e+16	1.613594e+10	8.982267e-01
2.684834e-01	-3.465518e-01	-9.894675e-03	-9.973519e-03	2.249996e+04	1.000002e+16	1.588281e+10	8.982267e-01
2.691341e-01	-3.465518e-01	-9.739459e-03	-9.817067e-03	2.249996e+04	1.000002e+16	1.563366e+10	8.982267e-01
2.697848e-01	-3.465518e-01	-9.586677e-03	-9.663068e-03	2.249997e+04	1.000002e+16	1.538842e+10	8.982267e-01
2.704356e-01	-3.465518e-01	-9.436290e-03	-9.511483e-03	2.249997e+04	1.000002e+16	1.514702e+10	8.982267e-01
