x [um]	Potential [V]	Electric Field1 [V/cm]	Electric Field2 [V/cm]	Electron Densities [1/cm^3]	Hole Densities [1/cm^3]	Total Charge Density [C/cm^3]	Conduction Band Energy (eV)
0	-0.3465519892401043	-0.060008067501778	-0.06048623929344101	22499.779817053422	1.0000097860045018e+16	0	0.8982268879228934
0.0006507322229922867	-0.3465519852729536	-0.060008067501778	-0.06048623929344101	22499.78327102824	1.000009632491529e+16	94813844739.69229	0.8982268879228934
0.0013014644459845735	-0.3465519813680353	-0.0590667245896831	-0.05953739604573055	22499.786670821366	1.000009481386724e+16	94813844739.69229	0.898226884017975
0.0019521966689768602	-0.34655197752437317	-0.058140151666939525	-0.05860343812831131	22499.79001728265	1.0000093326523132e+16	93326500631.51959	0.898226880174313
0.002602928891969147	-0.34655197374100616	-0.057228109586277366	-0.05768413062660844	22499.793311248868	1.0000091862511036e+16	91862488535.6985	0.898226876390946
0.0032536611149614337	-0.3465519700169887	-0.05633037683665605	-0.056779243211466705	22499.79655354324	1.0000090421465044e+16	90421442543.73853	0.8982268726669285
0.0039043933379537205	-0.3465519663513895	-0.055446726263441624	-0.05588855155004884	22499.79974497647	1.0000089003024828e+16	89003002328.09969	0.8982268690013293
0.004555125560946007	-0.34655196274329236	-0.05457693776649188	-0.055011832014966754	22499.802886346348	1.0000087606835778e+16	87606813278.39848	0.8982268653932322
0.005205857783938294	-0.34655195919179516	-0.053720792656562925	-0.054148865211527404	22499.805978438235	1.0000086232548828e+16	86232526328.5311	0.898226861841735
0.005856590006930581	-0.3465519556960101	-0.052878077888004305	-0.05329943527228362	22499.809022025074	1.0000084879820418e+16	84879797918.25638	0.8982268583459498
0.006507322229922868	-0.3465519522550632	-0.052048584647860566	-0.052463331267932435	22499.812017867764	1.0000083548312354e+16	83548289855.24364	0.898226854905003
0.0071580544529151555	-0.34655194886809404	-0.051232102006828754	-0.051640343327344664	22499.81496671534	1.0000082237691702e+16	82237669201.56776	0.8982268515180338
0.007808786675907443	-0.3465519455342561	-0.05042842820644517	-0.05083026510663696	22499.81786930493	1.0000080947630832e+16	80947608333.08101	0.898226848184196
0.00845951889889973	-0.3465519422527158	-0.049637362193695286	-0.05003289520007023	22499.8207263622	1.0000079677807206e+16	79677784707.1644	0.8982268449026556
0.009110251121892017	-0.3465519390226527	-0.04885870573736128	-0.049248033965528286	22499.823538601428	1.0000078427903344e+16	78427880843.51923	0.8982268416725925
0.009760983344884304	-0.3465519358432593	-0.048092263428021996	-0.04847548458269164	22499.82630672568	1.000007719760675e+16	77197584250.82545	0.8982268384931991
0.010411715567876591	-0.3465519327137407	-0.04733784338350219	-0.0477150534057621	22499.82903142694	1.0000075986609864e+16	75986587363.87733	0.8982268353636804
0.011062447790868879	-0.3465519296333147	-0.04659525795432164	-0.046966550668911915	22499.83171338632	1.0000074794609944e+16	74794587444.04837	0.8982268322832545
0.011713180013861166	-0.34655192660121115	-0.045864321607347616	-0.046229789780834626	22499.834353274302	1.0000073621308982e+16	73621286483.2487	0.8982268292511509
0.012363912236853453	-0.3465519236166719	-0.045144853042142476	-0.04550458732474504	22499.83695175086	1.000007246641364e+16	72466391141.06075	0.8982268262666118
0.01301464445984574	-0.34655192067895085	-0.04443666813647186	-0.04479076058930717	22499.8395094657	1.0000071329635144e+16	71329612645.20418	0.8982268233288906
0.013665376682838027	-0.3465519177873137	-0.04373959264438985	-0.04408813039043086	22499.84202705808	1.000007021068936e+16	70210666859.63887	0.8982268204372534
0.014316108905830315	-0.34655191494103743	-0.04305345373084887	-0.043396523187619364	22499.84450515741	1.0000069109296536e+16	69109274036.60025	0.8982268175909772
0.014966841128822602	-0.3465519121394105	-0.04237807785535218	-0.042715765793100526	22499.84694438329	1.0000068025181276e+16	68025158776.436005	0.8982268147893503
0.015617573351814889	-0.3465519093817324	-0.04171329571009805	-0.04204568678272511	22499.849345345505	1.0000066958072556e+16	66958050055.54575	0.8982268120316722
0.016268305574807174	-0.34655190666731384	-0.04105894363087819	-0.041386119670488115	22499.851708644226	1.0000065907703612e+16	65907681112.87616	0.8982268093172536
0.01691903779779946	-0.3465519039954761	-0.04041485372078923	-0.0407368986758337	22499.854034870375	1.0000064873811802e+16	64873789303.23757	0.8982268066454159
0.017569770020791745	-0.3465519013655513	-0.0397808714864621	-0.04009786260362566	22499.85632460535	1.0000063856138714e+16	63856116214.30144	0.898226804015491
0.01822050224378403	-0.3465518987768818	-0.03915683185279017	-0.03946885166962613	22499.858578421794	1.0000062854429826e+16	62854407326.085495	0.8982268014268215
0.018871234466776316	-0.3465518962288206	-0.03854258032640435	-0.03884970608959726	22499.860796883	1.0000061868434768e+16	61868412267.64954	0.8982267988787604
0.0195219666897686	-0.3465518937207307	-0.03793796735207982	-0.038240273839242084	22499.86298054352	1.0000060897907066e+16	60897884567.384605	0.8982267963706705
0.020172698912760887	-0.34655189125198493	-0.03734283702554917	-0.037640402188814495	22499.865129949412	1.0000059942604014e+16	59942581515.06074	0.8982267939019247
0.020823431135753172	-0.3465518888219662	-0.03675704472973178	-0.03704994087764047	22499.867245637924	1.0000059002286826e+16	59002264325.97265	0.898226791471906
0.021474163358745458	-0.34655188643006685	-0.03618043949850445	-0.036468742114118116	22499.8693281381	1.0000058076720356e+16	58076697856.30424	0.8982267890800066
0.022124895581737743	-0.34655188407568904	-0.03561287953658326	-0.03589665951754385	22499.87137797042	1.0000057165673268e+16	57165650769.02043	0.8982267867256288
0.02277562780473003	-0.34655188175824425	-0.03505422304868429	-0.035333551292633776	22499.873395647355	1.0000056268917794e+16	56268895294.6337	0.898226784408184
0.023426360027722314	-0.346551879477153	-0.03450433035587111	-0.0347792767022777	22499.87538167332	1.000005538622973e+16	55386207231.204025	0.8982267821270928
0.0240770922507146	-0.346551877231845	-0.033963066011902375	-0.034233698183886746	22499.877336544836	1.0000054517388398e+16	54517365898.93699	0.8982267798817848
0.024727824473706885	-0.3465518750217589	-0.03343028822149415	-0.03369667711669826	22499.87926075073	1.0000053662176524e+16	53662154024.93253	0.8982267776716987
0.02537855669669917	-0.3465518728463423	-0.032905869298345984	-0.03316807875992007	22499.881154771818	1.000005282038041e+16	52820357910.823074	0.898226775496282
0.026029288919691456	-0.34655187070505133	-0.03238967873436072	-0.032647774016353354	22499.88301908167	1.000005199178957e+16	51991767071.30391	0.8982267733549911
0.02668002114268374	-0.3465518685973506	-0.03188158461054288	-0.0321356316724518	22499.884854146454	1.0000051176196808e+16	51176174307.47487	0.8982267712472904
0.027330753365676027	-0.34655186652271314	-0.031381460651490334	-0.03163152263101661	22499.886660424883	1.0000050373398244e+16	50373375743.51113	0.8982267691726529
0.027981485588668312	-0.34655186448062036	-0.030889181992699345	-0.031135321322094837	22499.8884383685	1.000004958319318e+16	49583170679.97996	0.8982267671305602
0.028632217811660598	-0.34655186247056174	-0.030404627296912012	-0.030646904644805677	22499.89018842179	1.0000048805384068e+16	48805361567.647194	0.8982267651205016
0.029282950034652883	-0.3465518604920347	-0.02992767169962458	-0.030166149498268294	22499.891911022343	1.0000048039776406e+16	48039753906.195984	0.8982267631419745
