x [um]	Ec	Ev	Ei	Efn	Efp
3.7089046359146596	0.14556002783240585	-0.9744399721675943	-0.4144399721675942	-0.008378122571911673	-0.6000969997106307
3.709555368137652	0.14556004150817942	-0.9744399584918206	-0.41443995849182064	-0.008378110107580605	-0.6000908530792272
3.710206100360644	0.1455600551839516	-0.9744399448160486	-0.41443994481604846	-0.008378097643243099	-0.6000847050311152
3.7108568325836364	0.14556006885972228	-0.9744399311402778	-0.4144399311402778	-0.008378085178899375	-0.6000785555656216
3.7115075648066287	0.14556008253549146	-0.9744399174645086	-0.4144399174645086	-0.0083780727145496	-0.6000724046820722
3.712158297029621	0.14556009621125926	-0.9744399037887408	-0.4144399037887408	-0.008378060250193331	-0.6000662523797927
3.7128090292526132	0.1455601098870256	-0.9744398901129745	-0.41443989011297444	-0.008378047785830789	-0.6000600986581079
3.7134597614756055	0.1455601235627904	-0.9744398764372098	-0.41443987643720964	-0.008378035321462252	-0.600053943516343
3.714110493698598	0.14556013723855382	-0.9744398627614463	-0.41443986276144623	-0.00837802285708733	-0.6000477869538215
3.71476122592159	0.14556015091431568	-0.9744398490856845	-0.4144398490856844	-0.008378010392706414	-0.6000416289698678
3.7154119581445824	0.14556016459007615	-0.974439835409924	-0.4144398354099239	-0.008377997928319225	-0.6000354695638043
3.7160626903675746	0.14556017826583528	-0.9744398217341648	-0.41443982173416477	-0.008377985463925708	-0.600029308734954
3.716713422590567	0.14556019194159286	-0.9744398080584072	-0.4144398080584072	-0.008377972999525973	-0.600023146482639
3.717364154813559	0.1455602056173489	-0.9744397943826513	-0.41443979438265116	-0.008377960535119966	-0.6000169828061812
3.7180148870365515	0.1455602192931036	-0.9744397807068965	-0.41443978070689647	-0.00837794807070752	-0.6000108177049015
3.7186656192595438	0.14556023296885662	-0.9744397670311435	-0.41443976703114344	-0.008377935606288911	-0.6000046511781212
3.719316351482536	0.1455602466446082	-0.9744397533553919	-0.41443975335539185	-0.008377923141864141	-0.5999984832251603
3.7199670837055283	0.1455602603203583	-0.9744397396796418	-0.41443973967964176	-0.008377910677433098	-0.5999923138453387
3.7206178159285206	0.14556027399610694	-0.9744397260038932	-0.4144397260038931	-0.008377898212995838	-0.5999861430379756
3.721268548151513	0.1455602876718542	-0.9744397123281459	-0.41443971232814586	-0.00837788574855236	-0.5999799708023901
3.721919280374505	0.14556030134759984	-0.9744396986524002	-0.4144396986524002	-0.008377873284102888	-0.5999737971379006
3.7225700125974974	0.14556031502334393	-0.9744396849766561	-0.4144396849766561	-0.00837786081964731	-0.5999676220438248
3.7232207448204897	0.14556032869908653	-0.9744396713009136	-0.4144396713009135	-0.008377848355185458	-0.5999614455194802
3.723871477043482	0.1455603423748275	-0.9744396576251726	-0.41443965762517254	-0.008377835890717666	-0.5999552675641838
3.7245222092664743	0.1455603560505671	-0.9744396439494329	-0.41443964394943295	-0.008377823426243436	-0.5999490881772518
3.7251729414894665	0.1455603697263052	-0.9744396302736948	-0.41443963027369485	-0.008377810961763155	-0.5999429073580002
3.725823673712459	0.14556038340204175	-0.9744396165979583	-0.4144396165979583	-0.008377798497276767	-0.5999367251057445
3.726474405935451	0.1455603970777768	-0.9744396029222233	-0.41443960292222326	-0.008377786032784162	-0.5999305414197997
3.7271251381584434	0.1455604107535105	-0.9744395892464897	-0.41443958924648955	-0.00837777356828523	-0.59992435629948
3.7277758703814357	0.14556042442924272	-0.9744395755707573	-0.41443957557075733	-0.00837776110378008	-0.5999181697440997
3.728426602604428	0.1455604381049736	-0.9744395618950266	-0.41443956189502645	-0.008377748639268656	-0.5999119817529721
3.72907733482742	0.14556045178070298	-0.9744395482192971	-0.41443954821929707	-0.008377736174751016	-0.5999057923254103
3.7297280670504125	0.1455604654564307	-0.9744395345435695	-0.41443953454356935	-0.008377723710227436	-0.5998996014607272
3.7303787992734048	0.14556047913215692	-0.9744395208678431	-0.41443952086784314	-0.008377711245697639	-0.5998934091582345
3.731029531496397	0.14556049280788175	-0.9744395071921184	-0.4144395071921183	-0.008377698781161513	-0.5998872154172437
3.7316802637193893	0.14556050648360513	-0.9744394935163949	-0.4144394935163949	-0.008377686316619282	-0.5998810202370659
3.7323309959423816	0.14556052015932713	-0.974439479840673	-0.4144394798406729	-0.008377673852070833	-0.5998748236170117
3.732981728165374	0.14556053383504752	-0.9744394661649526	-0.41443946616495253	-0.008377661387516222	-0.5998686255563913
3.733632460388366	0.14556054751076647	-0.9744394524892337	-0.4144394524892336	-0.00837764892295545	-0.5998624260545142
3.7342831926113584	0.14556056118648392	-0.9744394388135162	-0.41443943881351614	-0.008377636458388515	-0.5998562251106896
3.7349339248343507	0.14556057486219998	-0.9744394251378001	-0.4144394251378001	-0.00837762399381542	-0.5998500227242258
3.735584657057343	0.14556058853791454	-0.9744394114620856	-0.4144394114620855	-0.008377611529236051	-0.5998438188944313
3.7362353892803353	0.1455606022136277	-0.9744393977863723	-0.41443939778637234	-0.008377599064650465	-0.5998376136206134
3.7368861215033276	0.14556061588933933	-0.9744393841106608	-0.4144393841106607	-0.008377586600058884	-0.5998314069020795
3.73753685372632	0.14556062956504945	-0.9744393704349507	-0.4144393704349506	-0.008377574135461197	-0.5998251987381363
