x [um]	Total Charge Density [C/cm^3]
0.19364916731037085	1.5425150153112596e-08
0.19429989953336313	1.5425150153112596e-08
0.1949506317563554	1.5177058838829512e-08
0.1956013639793477	1.4932839999443153e-08
0.19625209620233997	1.4692432957482641e-08
0.19690282842533224	1.4455778000321122e-08
0.19755356064832452	1.4222816338493606e-08
0.1982042928713168	1.3993490117166541e-08
0.19885502509430908	1.3767742383407545e-08
0.19950575731730136	1.3545517075275304e-08
0.20015648954029364	1.332675900979049e-08
0.20080722176328591	1.3111413872864913e-08
0.2014579539862782	1.2899428188809194e-08
0.20210868620927047	1.2690749337677028e-08
0.20275941843226275	1.2485325508827342e-08
0.20341015065525503	1.2283105712114135e-08
0.2040608828782473	1.2084039759143487e-08
0.20471161510123959	1.1888078235858469e-08
0.20536234732423186	1.1695172515966929e-08
0.20601307954722414	1.1505274722056813e-08
0.20666381177021642	1.1318337738744216e-08
0.2073145439932087	1.113431518246082e-08
0.20796527621620098	1.095316139529948e-08
0.20861600843919326	1.07748314357826e-08
0.20926674066218554	1.0599281069071032e-08
0.2099174728851778	1.042646676080965e-08
0.2105682051081701	1.0256345647194539e-08
0.21121893733116237	1.00888755344135e-08
0.21186966955415465	9.924014899485278e-09
0.21252040177714693	9.761722863124217e-09
0.2131711340001392	9.601959190019989e-09
0.21382186622313148	9.444684281843946e-09
0.21447259844612376	9.289859147036564e-09
0.21512333066911604	9.137445417592185e-09
0.21577406289210832	8.987405317167985e-09
0.2164247951151006	8.839701661923201e-09
0.21707552733809288	8.694297858001432e-09
0.21772625956108516	8.551157878591446e-09
0.21837699178407743	8.410246267004405e-09
0.2190277240070697	8.271528113175184e-09
0.219678456230062	8.134969066250953e-09
0.22032918845305427	8.00053530717606e-09
0.22097992067604655	7.868193549811025e-09
0.22163065289903883	7.737911019671825e-09
0.2222813851220311	7.609655463441275e-09
0.22293211734502338	7.483395143374102e-09
0.22358284956801566	7.359098797013518e-09
0.22423358179100794	7.236735672439216e-09
0.22488431401400022	7.1162754843472505e-09
0.2255350462369925	6.997688429436063e-09
0.22618577845998478	6.880945171579951e-09
0.22683651068297705	6.766016840150579e-09
0.22748724290596933	6.652875006798073e-09
0.2281379751289616	6.541491688528215e-09
0.2287887073519539	6.431839348541689e-09
0.22943943957494617	6.32389087581262e-09
0.23009017179793845	6.217619586767047e-09
0.23074090402093073	6.112999213533593e-09
0.231391636243923	6.010003898628289e-09
0.23204236846691528	5.908608194674831e-09
0.23269310068990756	5.808787053494482e-09
0.23334383291289984	5.710515810999787e-09
0.23399456513589212	5.613770199223655e-09
0.2346452973588844	5.51852632841561e-09
0.23529602958187668	5.4247606831253505e-09
0.23594676180486895	5.332450109334429e-09
0.23659749402786123	5.241571819211938e-09
0.2372482262508535	5.152103385519586e-09
0.2378989584738458	5.064022738814238e-09
0.23854969069683807	4.977308134717634e-09
0.23920042291983035	4.891938192521338e-09
0.23985115514282263	4.8078918571412796e-09
0.2405018873658149	4.725148398278514e-09
0.24115261958880718	4.643687414615415e-09
0.24180335181179946	4.563488826262532e-09
0.24245408403479174	4.484532866645954e-09
0.24310481625778402	4.406800079989596e-09
0.2437555484807763	4.330271316839265e-09
0.24440628070376857	4.254927718396881e-09
0.24505701292676085	4.180750731626758e-09
0.24570774514975313	4.107722091351868e-09
0.2463584773727454	4.035823818015865e-09
0.2470092095957377	3.965038213766645e-09
0.24765994181872997	3.8953478579804065e-09
0.24831067404172225	3.826735604743939e-09
0.24896140626471452	3.759184569986304e-09
0.2496121384877068	3.692678138472489e-09
0.2502628707106991	3.6271999556907686e-09
0.25091360293369136	3.5627339284121988e-09
0.25156433515668364	3.4992642143400154e-09
0.2522150673796759	3.436775212038774e-09
0.2528657996026682	3.375251564850798e-09
0.2535165318256605	3.314678166770842e-09
0.25416726404865275	3.2550401378284443e-09
0.25481799627164503	3.196322837515734e-09
0.2554687284946373	3.1385118496811483e-09
0.2561194607176296	3.081592988404096e-09
0.25677019294062187	3.0255522896025792e-09
0.25742092516361414	2.9703760026408124e-09
0.2580716573866064	2.9160505976026183e-09
0.2587223896095987	2.8625627624939665e-09
0.259373121832591	2.8098993822620248e-09
0.26002385405558326	2.75804755557992e-09
